,Memory usage,RangeBF,Rosetta,LilRosetta,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,
1,137534,0.998419,,,,,,,
2,262534,0.992646,,,,,,,
3,387534,0.98505,,,,,,,
4,512534,0.978069,,,,,,,
5,637534,0.972295,,,,,,,
6,762534,0.968695,,,,,,,
7,887534,0.965753,,,,,,,
0,3750275,,0.815705,,,,,,
1,5000280,,0.626559,,,,,,
2,6250275,,0.408347,,,,,,
3,7500274,,0.290042,,,,,,
4,8750263,,0.179092,,,,,,
5,10000276,,0.112158,,,,,,
6,11250275,,0.0749693,,,,,,
7,12500270,,0.0456841,,,,,,
0,625172,,,0.997124,,,,,
1,1875166,,,0.742382,,,,,
2,3125170,,,0.345649,,,,,
3,4375163,,,0.143287,,,,,
4,5625157,,,0.0612926,,,,,
0,1267562,,,,0.0,,,,
1,1137230,,,,0.986916,,,,
2,880815,,,,0.999824,,,,
3,704637,,,,0.999824,,,,
4,504111,,,,0.999824,,,,
5,315511,,,,0.999868,,,,
6,212092,,,,0.999956,,,,
7,188976,,,,0.999956,,,,
8,188852,,,,0.999956,,,,
9,188852,,,,0.999956,,,,
10,188852,,,,0.999956,,,,
0,188852,,,,,0.999956,,,
1,188852,,,,,0.999956,,,
2,189276,,,,,0.998617,,,
3,191716,,,,,0.989792,,,
4,200012,,,,,0.969068,,,
5,221764,,,,,0.928192,,,
6,270850,,,,,0.853003,,,
7,364609,,,,,0.73505,,,
8,513881,,,,,0.573828,,,
9,709264,,,,,0.386942,,,
10,910434,,,,,0.217246,,,
11,1126420,,,,,0.094705,,,
12,1218718,,,,,0.0304048,,,
13,1255917,,,,,0.00687127,,,
14,1265775,,,,,0.000943976,,,
0,189141,,,,,,0.999846,,
1,201645,,,,,,0.999846,,
2,214141,,,,,,0.999846,,
3,226645,,,,,,0.999846,,
4,239141,,,,,,0.999846,,
5,251645,,,,,,0.999363,,
6,264141,,,,,,0.998397,,
7,276645,,,,,,0.998134,,
8,289141,,,,,,0.997871,,
0,189141,,,,,,,0.999846,
0,1267549,,,,,,,,0.000175623
