Number of generated prefixes to be queried = 1227828

arr_size	memoryUsage	FPR	BF_FPR	hashesCnt
1024	130	1	1	1
103424	12930	0.99931	1	1
205824	25730	0.974163	0.999982	1
308224	38530	0.915341	0.99932	1
410624	51330	0.842564	0.995808	1
513024	64130	0.771601	0.987498	1
615424	76930	0.706977	0.97408	1
717824	89730	0.653387	0.956355	1
820224	102530	0.603248	0.935475	1
922624	115330	0.561421	0.912535	1
1025024	128130	0.523275	0.88843	1
1127424	140930	0.489684	0.863838	1
1229824	153730	0.460449	0.839248	1
1332224	166530	0.433316	0.814999	1
1434624	179330	0.410873	0.791319	1
1537024	192130	0.389665	0.768357	1
1639424	204930	0.369954	0.746199	1
1741824	217730	0.351765	0.724892	1
1844224	230530	0.338212	0.704455	1
1946624	243330	0.323934	0.684883	1
2049024	256130	0.309041	0.666162	1
2151424	268930	0.297224	0.648267	1
2253824	281730	0.285974	0.631166	1
2356224	294530	0.275349	0.614827	1
2458624	307330	0.264712	0.599214	1
2561024	320130	0.256581	0.58429	1
2663424	332930	0.246847	0.570022	1
2765824	345730	0.24117	0.556373	1
2868224	358530	0.231949	0.543312	1
2970624	371330	0.224727	0.530806	1
3073024	384130	0.21918	0.518824	1
3175424	396930	0.212514	0.507338	1
3277824	409730	0.205523	0.496321	1
3380224	422530	0.201196	0.485747	1
3482624	435330	0.195814	0.475592	1
3585024	448130	0.190413	0.465834	1
3687424	460930	0.185804	0.456451	1
3789824	473730	0.182428	0.447424	1
3892224	486530	0.176924	0.438733	1
3994624	499330	0.173704	0.430361	1
4097024	512130	0.16853	0.422292	1
4199424	524930	0.164716	0.414511	1
4301824	537730	0.161839	0.407003	1
4404224	550530	0.158137	0.399754	1
4506624	563330	0.153823	0.392752	1
4609024	576130	0.151317	0.385985	1
4711424	588930	0.149962	0.379441	1
4813824	601730	0.146131	0.373111	1
4916224	614530	0.0706843	0.359148	2
5018624	627330	0.0684135	0.350159	2
5121024	640130	0.0657725	0.34148	2
5223424	652930	0.0637839	0.333099	2
5325824	665730	0.0614523	0.325004	2
5428224	678530	0.0593692	0.317183	2
5530624	691330	0.0574131	0.309626	2
5633024	704130	0.0559798	0.30232	2
5735424	716930	0.0535982	0.295257	2
5837824	729730	0.0523918	0.288427	2
5940224	742530	0.0509288	0.28182	2
6042624	755330	0.0495131	0.275427	2
6145024	768130	0.0480892	0.269239	2
6247424	780930	0.0468288	0.263249	2
6349824	793730	0.0454009	0.257449	2
6452224	806530	0.0441419	0.251831	2
6554624	819330	0.0427464	0.246388	2
6657024	832130	0.0420075	0.241114	2
6759424	844930	0.0405823	0.236001	2
6861824	857730	0.03933	0.231043	2
6964224	870530	0.0383263	0.226235	2
7066624	883330	0.0374928	0.221572	2
7169024	896130	0.0366269	0.217046	2
7271424	908930	0.0354718	0.212654	2
7373824	921730	0.0344897	0.20839	2
7476224	934530	0.0335846	0.204249	2

SuRF Real memory = 813811
FPR SuRF Real = 0.223429

SuRF Base memory = 579435
FPR SuRF Base = 0.383058
