Number of generated prefixes to be queried = 59528

arr_size	memoryUsage	FPR	BF_FPR	hashesCnt
1024	130	1	1	1
11264	1410	0.949172	0.998814	1
21504	2690	0.794419	0.970665	1
31744	3970	0.660686	0.908425	1
41984	5250	0.564515	0.83594	1
52224	6530	0.47968	0.766157	1
62464	7810	0.418859	0.703258	1
72704	9090	0.375392	0.647879	1
82944	10370	0.337942	0.599451	1
93184	11650	0.307854	0.557085	1
103424	12930	0.285546	0.519893	1
113664	14210	0.258173	0.487084	1
123904	15490	0.242947	0.457987	1
134144	16770	0.228224	0.432045	1
144384	18050	0.211907	0.408794	1
154624	19330	0.198864	0.387854	1
164864	20610	0.116827	0.362068	2
175104	21890	0.105072	0.336042	2
185344	23170	0.0969548	0.312563	2
195584	24450	0.0869346	0.291339	2
205824	25730	0.080721	0.272111	2
216064	27010	0.0783139	0.254651	2
226304	28290	0.0669783	0.23876	2
236544	29570	0.0652989	0.224266	2
246784	30850	0.0593372	0.211014	2
257024	32130	0.0557266	0.198874	2
267264	33410	0.052172	0.187727	2
277504	34690	0.028577	0.175371	3
287744	35970	0.0284091	0.163395	3
297984	37250	0.0244066	0.152447	3
308224	38530	0.0244346	0.142423	3
318464	39810	0.0193966	0.133233	3
328704	41090	0.0199843	0.124796	3
338944	42370	0.0176052	0.117037	3
349184	43650	0.0178571	0.109893	3
359424	44930	0.0142745	0.103306	3
369664	46210	0.0136867	0.097224	3
379904	47490	0.0139666	0.0916007	3
390144	48770	0.0085927	0.0854692	4

SuRF Real memory = 35260
FPR SuRF Real = 0.228336
