Number of generated prefixes to be queried = 59614

arr_size	memoryUsage	FPR	BF_FPR	hashesCnt
1024	130	1	1	1
11264	1410	0.951029	0.998814	1
21504	2690	0.796416	0.970665	1
31744	3970	0.654375	0.908425	1
41984	5250	0.562313	0.83594	1
52224	6530	0.479966	0.766157	1
62464	7810	0.427047	0.703258	1
72704	9090	0.376984	0.647879	1
82944	10370	0.336777	0.599451	1
93184	11650	0.30651	0.557085	1
103424	12930	0.280918	0.519893	1
113664	14210	0.255607	0.487084	1
123904	15490	0.244323	0.457987	1
134144	16770	0.224612	0.432045	1
144384	18050	0.211648	0.408794	1
154624	19330	0.196836	0.387854	1
164864	20610	0.118074	0.362068	2
175104	21890	0.10301	0.336042	2
185344	23170	0.0937421	0.312563	2
195584	24450	0.0858183	0.291339	2
205824	25730	0.0811984	0.272111	2
216064	27010	0.0751225	0.254651	2
226304	28290	0.0697746	0.23876	2
236544	29570	0.0636147	0.224266	2
246784	30850	0.0596108	0.211014	2
257024	32130	0.0571749	0.198874	2
267264	33410	0.052303	0.187727	2
277504	34690	0.0307434	0.175371	3
287744	35970	0.0259275	0.163395	3
297984	37250	0.0246395	0.152447	3
308224	38530	0.0220636	0.142423	3
318464	39810	0.0206636	0.133233	3
328704	41090	0.0187876	0.124796	3
338944	42370	0.0184236	0.117037	3
349184	43650	0.0159037	0.109893	3
359424	44930	0.0150917	0.103306	3
369664	46210	0.0141957	0.097224	3
379904	47490	0.0129077	0.0916007	3
390144	48770	0.00823184	0.0854692	4

