Number of generated prefixes to be queried = 59869

arr_size	memoryUsage	FPR	BF_FPR	hashesCnt
1024	130	1	1	1
11264	1410	0.948905	0.998814	1
21504	2690	0.799627	0.970665	1
31744	3970	0.658782	0.908425	1
41984	5250	0.559402	0.83594	1
52224	6530	0.482565	0.766157	1
62464	7810	0.421368	0.703258	1
72704	9090	0.374363	0.647879	1
82944	10370	0.334845	0.599451	1
93184	11650	0.304845	0.557085	1
103424	12930	0.281886	0.519893	1
113664	14210	0.256199	0.487084	1
123904	15490	0.241449	0.457987	1
134144	16770	0.225141	0.432045	1
144384	18050	0.210197	0.408794	1
154624	19330	0.196143	0.387854	1
164864	20610	0.115799	0.362068	2
175104	21890	0.104556	0.336042	2
185344	23170	0.0961233	0.312563	2
195584	24450	0.088498	0.291339	2
205824	25730	0.079036	0.272111	2
216064	27010	0.0731918	0.254651	2
226304	28290	0.0672362	0.23876	2
236544	29570	0.0637854	0.224266	2
246784	30850	0.057802	0.211014	2
257024	32130	0.0539615	0.198874	2
267264	33410	0.0510951	0.187727	2
277504	34690	0.0297498	0.175371	3
287744	35970	0.0276904	0.163395	3
297984	37250	0.0251301	0.152447	3
308224	38530	0.023182	0.142423	3
318464	39810	0.0214566	0.133233	3
328704	41090	0.0189798	0.124796	3
338944	42370	0.0173935	0.117037	3
349184	43650	0.0165864	0.109893	3
359424	44930	0.0154732	0.103306	3
369664	46210	0.0146384	0.097224	3
379904	47490	0.013553	0.0916007	3
390144	48770	0.0091281	0.0854692	4

SuRF Real memory = 35260
FPR SuRF Real = 0.226894

SuRF Base memory = 25252
FPR SuRF Base = 0.432972
