Number of generated prefixes to be queried = 59909

arr_size	memoryUsage	FPR	BF_FPR	hashesCnt
1024	130	1	1	1
11264	1410	0.95153	0.998814	1
21504	2690	0.793428	0.970665	1
31744	3970	0.660213	0.908425	1
41984	5250	0.56733	0.83594	1
52224	6530	0.482362	0.766157	1
62464	7810	0.421115	0.703258	1
72704	9090	0.371979	0.647879	1
82944	10370	0.332898	0.599451	1
93184	11650	0.311705	0.557085	1
103424	12930	0.280318	0.519893	1
113664	14210	0.258652	0.487084	1
123904	15490	0.245347	0.457987	1
134144	16770	0.223904	0.432045	1
144384	18050	0.210877	0.408794	1
154624	19330	0.196739	0.387854	1
164864	20610	0.115744	0.362068	2
175104	21890	0.103578	0.336042	2
185344	23170	0.0938003	0.312563	2
195584	24450	0.0871896	0.291339	2
205824	25730	0.0818843	0.272111	2
216064	27010	0.0758569	0.254651	2
226304	28290	0.0686906	0.23876	2
236544	29570	0.0636076	0.224266	2
246784	30850	0.0569691	0.211014	2
257024	32130	0.0555247	0.198874	2
267264	33410	0.0510805	0.187727	2
277504	34690	0.0296928	0.175371	3
287744	35970	0.0268596	0.163395	3
297984	37250	0.0243598	0.152447	3
308224	38530	0.022221	0.142423	3
318464	39810	0.0211655	0.133233	3
328704	41090	0.0193045	0.124796	3
338944	42370	0.0180546	0.117037	3
349184	43650	0.0158047	0.109893	3
359424	44930	0.0152769	0.103306	3
369664	46210	0.0136659	0.097224	3
379904	47490	0.0130826	0.0916007	3
390144	48770	0.00780512	0.0854692	4

memoryUsage	FPR	FP pr	q	r
49152	0.062191	0.0631225	16	3
57344	0.0314983	0.0320757	16	4
65536	0.0158325	0.0161685	16	5
73728	0.00755514	0.00811722	16	6
81920	0.0033887	0.00406688	16	7
90112	0.0017499	0.00203551	16	8
98304	0.000777735	0.00101827	16	9
106496	0.000333315	0.000509266	16	10
114688	0.000138881	0.000254666	16	11
122880	0.000111105	0.000127341	16	12
131072	2.77762e-05	6.36725e-05	16	13
139264	2.77762e-05	3.18368e-05	16	14
147456	2.77762e-05	1.59185e-05	16	15
155648	0	7.95928e-06	16	16
98304	0.0314983	0.0320757	17	3
114688	0.0158325	0.0161685	17	4
131072	0.00755514	0.00811722	17	5
147456	0.0033887	0.00406688	17	6
163840	0.0017499	0.00203551	17	7
180224	0.000777735	0.00101827	17	8
196608	0.000333315	0.000509266	17	9
212992	0.000138881	0.000254666	17	10
229376	0.000111105	0.000127341	17	11
245760	2.77762e-05	6.36725e-05	17	12
262144	2.77762e-05	3.18368e-05	17	13
278528	2.77762e-05	1.59185e-05	17	14
294912	0	7.95928e-06	17	15
311296	0	3.97965e-06	17	16
196608	0.0158325	0.0161685	18	3
229376	0.00755514	0.00811722	18	4
262144	0.0033887	0.00406688	18	5
294912	0.0017499	0.00203551	18	6
327680	0.000777735	0.00101827	18	7
360448	0.000333315	0.000509266	18	8
393216	0.000138881	0.000254666	18	9
425984	0.000111105	0.000127341	18	10
458752	2.77762e-05	6.36725e-05	18	11
491520	2.77762e-05	3.18368e-05	18	12
524288	2.77762e-05	1.59185e-05	18	13
557056	0	7.95928e-06	18	14
589824	0	3.97965e-06	18	15
622592	0	1.98983e-06	18	16
393216	0.00755514	0.00811722	19	3
458752	0.0033887	0.00406688	19	4
524288	0.0017499	0.00203551	19	5
589824	0.000777735	0.00101827	19	6
655360	0.000333315	0.000509266	19	7
720896	0.000138881	0.000254666	19	8
786432	0.000111105	0.000127341	19	9
851968	2.77762e-05	6.36725e-05	19	10
917504	2.77762e-05	3.18368e-05	19	11
983040	2.77762e-05	1.59185e-05	19	12
1048576	0	7.95928e-06	19	13
1114112	0	3.97965e-06	19	14
1179648	0	1.98983e-06	19	15
1245184	0	9.94914e-07	19	16
786432	0.0033887	0.00406688	20	3
917504	0.0017499	0.00203551	20	4
1048576	0.000777735	0.00101827	20	5
1179648	0.000333315	0.000509266	20	6
1310720	0.000138881	0.000254666	20	7
1441792	0.000111105	0.000127341	20	8
1572864	2.77762e-05	6.36725e-05	20	9
1703936	2.77762e-05	3.18368e-05	20	10
1835008	2.77762e-05	1.59185e-05	20	11
1966080	0	7.95928e-06	20	12
2097152	0	3.97965e-06	20	13
2228224	0	1.98983e-06	20	14
2359296	0	9.94914e-07	20	15
2490368	0	4.97457e-07	20	16

SuRF Real memory = 35260
FPR SuRF Real = 0.228904

SuRF Base memory = 25252
FPR SuRF Base = 0.431837
