,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,0.992874,,,,,,,,
1,75034,0.22975,,,,,,,,
2,137534,0.105868,,,,,,,,
3,200034,0.0685894,,,,,,,,
4,262534,0.0487049,,,,,,,,
5,325034,0.0365261,,,,,,,,
6,387534,0.0287492,,,,,,,,
7,450034,0.0229851,,,,,,,,
0,77780,,1.0,,,,,,,
1,116579,,1.0,,,,,,,
2,155350,,0.999939,,,,,,,
3,194155,,0.999827,,,,,,,
4,232949,,0.999624,,,,,,,
5,271726,,0.999065,,,,,,,
0,53151,,,1.0,,,,,,
1,79626,,,1.0,,,,,,
2,106094,,,1.0,,,,,,
3,132567,,,0.99997,,,,,,
4,159042,,,0.999959,,,,,,
5,185513,,,0.999807,,,,,,
0,28525,,,,1.0,,,,,
1,42674,,,,1.0,,,,,
2,56842,,,,1.0,,,,,
3,70986,,,,1.0,,,,,
4,85163,,,,1.0,,,,,
5,99304,,,,1.0,,,,,
0,869524,,,,,0.00778709,,,,
1,742769,,,,,0.0284442,,,,
2,530380,,,,,0.0765188,,,,
3,388093,,,,,0.175281,,,,
4,276645,,,,,0.337203,,,,
5,225447,,,,,0.462366,,,,
6,214972,,,,,0.501566,,,,
7,213366,,,,,0.508417,,,,
8,212934,,,,,0.50921,,,,
9,212798,,,,,0.509231,,,,
10,212798,,,,,0.509231,,,,
0,212798,,,,,,0.509231,,,
1,212798,,,,,,0.509231,,,
2,219854,,,,,,0.497997,,,
3,243004,,,,,,0.46876,,,
4,291719,,,,,,0.42096,,,
5,371614,,,,,,0.35108,,,
6,475325,,,,,,0.269407,,,
7,587108,,,,,,0.186382,,,
8,707484,,,,,,0.114488,,,
9,783970,,,,,,0.0611581,,,
10,830869,,,,,,0.0304367,,,
11,854396,,,,,,0.0156657,,,
12,863807,,,,,,0.0103692,,,
13,867333,,,,,,0.00839704,,,
14,869042,,,,,,0.00787858,,,
0,220506,,,,,,,0.501718,,
1,233010,,,,,,,0.501718,,
2,245514,,,,,,,0.497692,,
3,258010,,,,,,,0.497692,,
4,270514,,,,,,,0.317695,,
5,283018,,,,,,,0.228357,,
6,295514,,,,,,,0.179235,,
7,308018,,,,,,,0.1526,,
8,320514,,,,,,,0.140279,,
0,220506,,,,,,,,0.501718,
0,870750,,,,,,,,,0.0173532
