,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,
1,75034,0.594864,,,,,,,,
2,137534,0.288572,,,,,,,,
3,200034,0.170285,,,,,,,,
4,262534,0.115391,,,,,,,,
5,325034,0.0728847,,,,,,,,
6,387534,0.0516367,,,,,,,,
7,450034,0.0388779,,,,,,,,
0,77165,,1.0,,,,,,,
1,115671,,1.0,,,,,,,
2,154176,,1.0,,,,,,,
3,192606,,0.99999,,,,,,,
4,231113,,0.9999,,,,,,,
5,269618,,0.99985,,,,,,,
0,52486,,,1.0,,,,,,
1,78577,,,1.0,,,,,,
2,104743,,,1.0,,,,,,
3,130835,,,0.99999,,,,,,
4,157001,,,0.99999,,,,,,
5,183095,,,0.99996,,,,,,
0,27735,,,,1.0,,,,,
1,41484,,,,1.0,,,,,
2,55311,,,,1.0,,,,,
3,69063,,,,1.0,,,,,
4,82815,,,,1.0,,,,,
5,96567,,,,1.0,,,,,
0,1413500,,,,,1.00227e-05,,,,
1,1283143,,,,,1.00227e-05,,,,
2,1081938,,,,,0.000130294,,,,
3,905114,,,,,0.000451019,,,,
4,700482,,,,,0.00140317,,,,
5,492390,,,,,0.0078778,,,,
6,327897,,,,,0.0339567,,,,
7,182413,,,,,0.152485,,,,
8,164440,,,,,0.191573,,,,
9,164440,,,,,0.191573,,,,
10,164440,,,,,0.191573,,,,
0,164440,,,,,,0.191573,,,
1,164440,,,,,,0.191573,,,
2,164509,,,,,,0.191453,,,
3,164971,,,,,,0.191122,,,
4,167140,,,,,,0.19041,,,
5,173564,,,,,,0.188616,,,
6,191958,,,,,,0.184647,,,
7,258344,,,,,,0.176519,,,
8,346404,,,,,,0.161074,,,
9,494700,,,,,,0.137391,,,
10,706779,,,,,,0.104586,,,
11,953015,,,,,,0.067262,,,
12,1176430,,,,,,0.0343977,,,
13,1321957,,,,,,0.0135306,,,
14,1388663,,,,,,0.00401908,,,
0,164420,,,,,,,0.191573,,
1,176924,,,,,,,0.191573,,
2,189420,,,,,,,0.191433,,
3,201924,,,,,,,0.191433,,
4,214420,,,,,,,0.098242,,
5,250888,,,,,,,0.053531,,
6,263392,,,,,,,0.0285445,,
7,275888,,,,,,,0.0144025,,
8,288392,,,,,,,0.00739672,,
0,164420,,,,,,,,0.191573,
0,1413471,,,,,,,,,1.00227e-05
