,Memory usage,RangeBF,LilRosetta p=0.7,LilRosetta p=0.8,LilRosetta p=0.9,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,12534,1.0,,,,,,,,
1,75034,0.9984,,,,,,,,
2,137534,0.977613,,,,,,,,
3,200034,0.918036,,,,,,,,
4,262534,0.823844,,,,,,,,
5,325034,0.709229,,,,,,,,
6,387534,0.6048,,,,,,,,
7,450034,0.510192,,,,,,,,
0,77780,,1.0,,,,,,,
1,116579,,0.999987,,,,,,,
2,155350,,0.999961,,,,,,,
3,194155,,0.999883,,,,,,,
4,232949,,0.999649,,,,,,,
5,271726,,0.999128,,,,,,,
0,53151,,,1.0,,,,,,
1,79626,,,1.0,,,,,,
2,106094,,,0.999987,,,,,,
3,132567,,,1.0,,,,,,
4,159042,,,0.999909,,,,,,
5,185513,,,0.999857,,,,,,
0,28525,,,,1.0,,,,,
1,42674,,,,1.0,,,,,
2,56842,,,,1.0,,,,,
3,70986,,,,1.0,,,,,
4,85163,,,,1.0,,,,,
5,99304,,,,1.0,,,,,
0,869524,,,,,0.0,,,,
1,742769,,,,,0.966062,,,,
2,530380,,,,,0.969366,,,,
3,388093,,,,,0.973567,,,,
4,276645,,,,,0.977665,,,,
5,225447,,,,,0.979252,,,,
6,214972,,,,,0.979421,,,,
7,213366,,,,,0.979421,,,,
8,212934,,,,,0.979421,,,,
9,212798,,,,,0.979421,,,,
10,212798,,,,,0.979421,,,,
0,212798,,,,,,0.979421,,,
1,212798,,,,,,0.979421,,,
2,219854,,,,,,0.925828,,,
3,243004,,,,,,0.83706,,,
4,291719,,,,,,0.712481,,,
5,371614,,,,,,0.557593,,,
6,475325,,,,,,0.397307,,,
7,587108,,,,,,0.253255,,,
8,707484,,,,,,0.141802,,,
9,783970,,,,,,0.0668098,,,
10,830869,,,,,,0.0266016,,,
11,854396,,,,,,0.00902764,,,
12,863807,,,,,,0.00286179,,,
13,867333,,,,,,0.000741463,,,
14,869042,,,,,,0.000117073,,,
0,220506,,,,,,,0.968885,,
1,233010,,,,,,,0.968885,,
2,245514,,,,,,,0.967857,,
3,258010,,,,,,,0.967857,,
4,270514,,,,,,,0.938927,,
5,283018,,,,,,,0.926322,,
6,295514,,,,,,,0.917502,,
7,308018,,,,,,,0.912833,,
8,320514,,,,,,,0.910231,,
0,220506,,,,,,,,0.968885,
0,870750,,,,,,,,,0.00568455
