,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,0.713075,,,,,,,,,
1,25034,0.65035,,,,,,,,,
2,37534,0.450095,,,,,,,,,
3,50034,0.241365,,,,,,,,,
4,62534,0.128205,,,,,,,,,
5,75034,0.0527654,,,,,,,,,
6,87534,0.0211909,,,,,,,,,
7,100034,0.00826446,,,,,,,,,
0,57837,,0.105743,,,,,,,,
1,86695,,0.00890019,,,,,,,,
2,115537,,0.00105955,,,,,,,,
3,144389,,0.0,,,,,,,,
4,173228,,0.0,,,,,,,,
5,202085,,0.0,,,,,,,,
0,74817,,,0.0,,,,,,,
1,73179,,,0.38737,,,,,,,
2,69887,,,0.38737,,,,,,,
3,52251,,,0.653528,,,,,,,
4,48213,,,0.654376,,,,,,,
5,25648,,,0.741894,,,,,,,
6,19210,,,0.820725,,,,,,,
7,18253,,,0.844459,,,,,,,
8,17516,,,0.85463,,,,,,,
9,17510,,,0.856325,,,,,,,
10,17510,,,0.856325,,,,,,,
0,17510,,,,0.856325,,,,,,
1,17510,,,,0.856325,,,,,,
2,17510,,,,0.856325,,,,,,
3,17510,,,,0.856325,,,,,,
4,17510,,,,0.856325,,,,,,
5,17537,,,,0.855266,,,,,,
6,17631,,,,0.852935,,,,,,
7,18313,,,,0.834499,,,,,,
8,20664,,,,0.788726,,,,,,
9,30237,,,,0.632973,,,,,,
10,47045,,,,0.393092,,,,,,
11,62514,,,,0.166985,,,,,,
12,70827,,,,0.0459843,,,,,,
13,73861,,,,0.0127146,,,,,,
14,74702,,,,0.00296673,,,,,,
0,59685,,,,,0.437381,,,,,
0,60426,,,,,,0.0707777,,,,
1,55844,,,,,,0.0904853,,,,
2,53095,,,,,,0.118033,,,,
3,51262,,,,,,0.134986,,,,
4,49953,,,,,,0.160839,,,,
5,48971,,,,,,0.175249,,,,
0,55238,,,,,,,0.0707777,,,
1,50656,,,,,,,0.0904853,,,
2,47907,,,,,,,0.118033,,,
3,46074,,,,,,,0.134986,,,
4,44765,,,,,,,0.160839,,,
5,43783,,,,,,,0.175249,,,
0,50051,,,,,,,,0.0707777,,
1,45469,,,,,,,,0.0904853,,
2,42720,,,,,,,,0.118033,,
3,40887,,,,,,,,0.134986,,
4,39578,,,,,,,,0.160839,,
5,38596,,,,,,,,0.175249,,
0,59685,,,,,0.437381,,,,,
1,60949,,,,,0.437381,,,,,
2,62197,,,,,0.437381,,,,,
3,63445,,,,,0.437381,,,,,
4,64693,,,,,0.423819,,,,,
5,65949,,,,,0.410256,,,,,
6,67197,,,,,0.405171,,,,,
7,68445,,,,,0.402628,,,,,
8,69693,,,,,0.40178,,,,,
0,59685,,,,,,,,,0.437381,
0,74785,,,,,,,,,,0.0
