,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,1.0,,,,,,,,,
1,25034,0.999369,,,,,,,,,
2,37534,0.994166,,,,,,,,,
3,50034,0.975402,,,,,,,,,
4,62534,0.935352,,,,,,,,,
5,75034,0.877326,,,,,,,,,
6,87534,0.803217,,,,,,,,,
7,100034,0.75749,,,,,,,,,
0,53382,,0.97556,,,,,,,,
1,79989,,0.881741,,,,,,,,
2,106595,,0.678808,,,,,,,,
3,133201,,0.396247,,,,,,,,
4,159807,,0.129612,,,,,,,,
5,186411,,0.00630716,,,,,,,,
0,170292,,,0.0,,,,,,,
1,157096,,,0.135289,,,,,,,
2,130684,,,0.391359,,,,,,,
3,117480,,,0.504888,,,,,,,
4,91084,,,0.689372,,,,,,,
5,64668,,,0.835856,,,,,,,
6,51474,,,0.895617,,,,,,,
7,25371,,,0.981236,,,,,,,
8,17962,,,0.993851,,,,,,,
9,17962,,,0.993851,,,,,,,
10,17962,,,0.993851,,,,,,,
0,17962,,,,0.993851,,,,,,
1,17962,,,,0.993851,,,,,,
2,17962,,,,0.993851,,,,,,
3,17962,,,,0.993851,,,,,,
4,17962,,,,0.993851,,,,,,
5,17962,,,,0.993851,,,,,,
6,17962,,,,0.993851,,,,,,
7,17962,,,,0.993851,,,,,,
8,17962,,,,0.993851,,,,,,
9,17994,,,,0.993693,,,,,,
10,18086,,,,0.992747,,,,,,
11,20892,,,,0.97351,,,,,,
12,81424,,,,0.566541,,,,,,
13,170292,,,,0.0,,,,,,
14,170292,,,,0.0,,,,,,
0,17914,,,,,0.993851,,,,,
0,112397,,,,,,0.74046,,,,
1,109273,,,,,,0.743929,,,,
2,107398,,,,,,0.746295,,,,
3,106147,,,,,,0.748344,,,,
4,105254,,,,,,0.751183,,,,
5,104585,,,,,,0.752917,,,,
0,97626,,,,,,,0.797698,,,
1,94502,,,,,,,0.801167,,,
2,92627,,,,,,,0.803532,,,
3,91376,,,,,,,0.805582,,,
4,90483,,,,,,,0.80842,,,
5,89814,,,,,,,0.810155,,,
0,82854,,,,,,,,0.874488,,
1,79730,,,,,,,,0.877956,,
2,77855,,,,,,,,0.880322,,
3,76604,,,,,,,,0.882371,,
4,75711,,,,,,,,0.88521,,
5,75042,,,,,,,,0.886944,,
0,17914,,,,,0.993851,,,,,
1,19170,,,,,0.993851,,,,,
2,20418,,,,,0.99322,,,,,
3,21666,,,,,0.99322,,,,,
4,22914,,,,,0.979975,,,,,
5,24170,,,,,0.973352,,,,,
6,25418,,,,,0.969883,,,,,
7,26666,,,,,0.967518,,,,,
8,27914,,,,,0.965941,,,,,
0,17914,,,,,,,,,0.993851,
0,170260,,,,,,,,,,0.0
