,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,0.1431,,,,,,,,,
1,25034,0.0328,,,,,,,,,
2,37534,0.0108,,,,,,,,,
3,50034,0.0037,,,,,,,,,
4,62534,0.003,,,,,,,,,
5,75034,0.0016,,,,,,,,,
6,87534,0.0007,,,,,,,,,
7,100034,0.0007,,,,,,,,,
0,52729,,0.9964,,,,,,,,
1,78982,,0.9689,,,,,,,,
2,105251,,0.8673,,,,,,,,
3,131515,,0.5389,,,,,,,,
4,157773,,0.0661,,,,,,,,
5,184034,,0.0132,,,,,,,,
0,122942,,,0.0,,,,,,,
1,110018,,,0.0,,,,,,,
2,84993,,,0.0,,,,,,,
3,73026,,,0.0,,,,,,,
4,51864,,,0.0,,,,,,,
5,35725,,,0.0,,,,,,,
6,30076,,,0.0,,,,,,,
7,23820,,,0.0033,,,,,,,
8,22828,,,0.0424,,,,,,,
9,22635,,,0.2629,,,,,,,
10,22635,,,0.2629,,,,,,,
0,22635,,,,0.2629,,,,,,
1,22635,,,,0.2629,,,,,,
2,22875,,,,0.2629,,,,,,
3,23503,,,,0.2629,,,,,,
4,25187,,,,0.2629,,,,,,
5,28074,,,,0.2629,,,,,,
6,33124,,,,0.2629,,,,,,
7,40822,,,,0.2629,,,,,,
8,51295,,,,0.2629,,,,,,
9,64672,,,,0.2629,,,,,,
10,79943,,,,0.2629,,,,,,
11,96350,,,,0.2627,,,,,,
12,110953,,,,0.2612,,,,,,
13,120321,,,,0.2298,,,,,,
14,122942,,,,0.0,,,,,,
0,23049,,,,,0.2629,,,,,
0,83861,,,,,,0.01,,,,
1,80712,,,,,,0.01,,,,
2,78822,,,,,,0.01,,,,
3,77562,,,,,,0.01,,,,
4,76662,,,,,,0.01,,,,
5,75987,,,,,,0.01,,,,
0,73619,,,,,,,0.0224,,,
1,70470,,,,,,,0.0224,,,
2,68580,,,,,,,0.0224,,,
3,67320,,,,,,,0.0224,,,
4,66420,,,,,,,0.0224,,,
5,65745,,,,,,,0.0224,,,
0,63377,,,,,,,,0.0553,,
1,60228,,,,,,,,0.0553,,
2,58338,,,,,,,,0.0553,,
3,57078,,,,,,,,0.0553,,
4,56178,,,,,,,,0.0553,,
5,55503,,,,,,,,0.0553,,
0,23049,,,,,0.2629,,,,,
1,24305,,,,,0.2629,,,,,
2,25553,,,,,0.2629,,,,,
3,26809,,,,,0.2629,,,,,
4,28057,,,,,0.134,,,,,
5,29305,,,,,0.0734,,,,,
6,30561,,,,,0.0392,,,,,
7,31809,,,,,0.0196,,,,,
8,33057,,,,,0.0106,,,,,
0,23049,,,,,,,,,0.2629,
0,123000,,,,,,,,,,0.0
