,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,1.0,,,,,,,,,
1,25034,0.99968,,,,,,,,,
2,37534,0.994887,,,,,,,,,
3,50034,0.971237,,,,,,,,,
4,62534,0.92969,,,,,,,,,
5,75034,0.868009,,,,,,,,,
6,87534,0.798019,,,,,,,,,
7,100034,0.734899,,,,,,,,,
0,53382,,0.863535,,,,,,,,
1,79989,,0.519655,,,,,,,,
2,106595,,0.237136,,,,,,,,
3,133201,,0.105145,,,,,,,,
4,159807,,0.0431448,,,,,,,,
5,186411,,0.0172579,,,,,,,,
0,170292,,,0.0,,,,,,,
1,157096,,,1.0,,,,,,,
2,130684,,,1.0,,,,,,,
3,117480,,,1.0,,,,,,,
4,91084,,,1.0,,,,,,,
5,64668,,,1.0,,,,,,,
6,51474,,,1.0,,,,,,,
7,25371,,,1.0,,,,,,,
8,17962,,,1.0,,,,,,,
9,17962,,,1.0,,,,,,,
10,17962,,,1.0,,,,,,,
0,17962,,,,1.0,,,,,,
1,17962,,,,1.0,,,,,,
2,17962,,,,1.0,,,,,,
3,17962,,,,1.0,,,,,,
4,17962,,,,1.0,,,,,,
5,17962,,,,1.0,,,,,,
6,17962,,,,1.0,,,,,,
7,17962,,,,1.0,,,,,,
8,17962,,,,1.0,,,,,,
9,17994,,,,0.99984,,,,,,
10,18086,,,,0.999041,,,,,,
11,20892,,,,0.977948,,,,,,
12,81424,,,,0.558965,,,,,,
13,170292,,,,0.0,,,,,,
14,170292,,,,0.0,,,,,,
0,17914,,,,,1.0,,,,,
0,112397,,,,,,0.587248,,,,
1,109273,,,,,,0.60163,,,,
2,107398,,,,,,0.622563,,,,
3,106147,,,,,,0.644934,,,,
4,105254,,,,,,0.658517,,,,
5,104585,,,,,,0.67178,,,,
0,97626,,,,,,,0.587248,,,
1,94502,,,,,,,0.60163,,,
2,92627,,,,,,,0.622563,,,
3,91376,,,,,,,0.644934,,,
4,90483,,,,,,,0.658517,,,
5,89814,,,,,,,0.67178,,,
0,82854,,,,,,,,0.587248,,
1,79730,,,,,,,,0.60163,,
2,77855,,,,,,,,0.622563,,
3,76604,,,,,,,,0.644934,,
4,75711,,,,,,,,0.658517,,
5,75042,,,,,,,,0.67178,,
0,17914,,,,,1.0,,,,,
1,19170,,,,,1.0,,,,,
2,20418,,,,,1.0,,,,,
3,21666,,,,,1.0,,,,,
4,22914,,,,,1.0,,,,,
5,24170,,,,,1.0,,,,,
6,25418,,,,,1.0,,,,,
7,26666,,,,,1.0,,,,,
8,27914,,,,,1.0,,,,,
0,17914,,,,,,,,,1.0,
0,170260,,,,,,,,,,0.0
