,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=14 b=2,Layered CHaREQ h=14 b=3,Layered CHaREQ h=14 b=4,SuRF Base,FST
0,12534,0.040304,,,,,,,,,
1,25034,0.00390039,,,,,,,,,
2,37534,0.00050005,,,,,,,,,
3,50034,0.00070007,,,,,,,,,
4,62534,0.00020002,,,,,,,,,
5,75034,0.00020002,,,,,,,,,
6,87534,0.00010001,,,,,,,,,
7,100034,0.00010001,,,,,,,,,
0,54542,,0.580358,,,,,,,,
1,81733,,0.210021,,,,,,,,
2,108931,,0.0672067,,,,,,,,
3,136126,,0.0188019,,,,,,,,
4,163322,,0.00530053,,,,,,,,
5,190520,,0.00180018,,,,,,,,
0,127326,,,0.0,,,,,,,
1,114128,,,0.00010001,,,,,,,
2,87746,,,0.00170017,,,,,,,
3,71433,,,0.00640064,,,,,,,
4,46267,,,0.0636064,,,,,,,
5,28395,,,0.309631,,,,,,,
6,24615,,,0.421142,,,,,,,
7,22909,,,0.494349,,,,,,,
8,22838,,,0.49655,,,,,,,
9,22832,,,0.49675,,,,,,,
10,22832,,,0.49675,,,,,,,
0,22832,,,,0.49675,,,,,,
1,22832,,,,0.49675,,,,,,
2,22832,,,,0.49675,,,,,,
3,22852,,,,0.49675,,,,,,
4,23006,,,,0.49665,,,,,,
5,23958,,,,0.49635,,,,,,
6,27125,,,,0.492749,,,,,,
7,37443,,,,0.471147,,,,,,
8,60013,,,,0.385339,,,,,,
9,91121,,,,0.227623,,,,,,
10,112859,,,,0.0964096,,,,,,
11,123139,,,,0.0244024,,,,,,
12,126050,,,,0.00390039,,,,,,
13,126822,,,,0.00070007,,,,,,
14,127326,,,,0.0,,,,,,
0,22798,,,,,0.49665,,,,,
0,84961,,,,,,0.00060006,,,,
1,81837,,,,,,0.00060006,,,,
2,79962,,,,,,0.00060006,,,,
3,78711,,,,,,0.00060006,,,,
4,77818,,,,,,0.00060006,,,,
5,77149,,,,,,0.00060006,,,,
0,74519,,,,,,,0.00140014,,,
1,71395,,,,,,,0.00140014,,,
2,69520,,,,,,,0.00140014,,,
3,68269,,,,,,,0.00150015,,,
4,67376,,,,,,,0.00150015,,,
5,66707,,,,,,,0.00150015,,,
0,64077,,,,,,,,0.00410041,,
1,60953,,,,,,,,0.00420042,,
2,59078,,,,,,,,0.0040004,,
3,57827,,,,,,,,0.00410041,,
4,56934,,,,,,,,0.00430043,,
5,56265,,,,,,,,0.00440044,,
0,22798,,,,,0.49665,,,,,
1,24062,,,,,0.49665,,,,,
2,25310,,,,,0.49665,,,,,
3,26558,,,,,0.49665,,,,,
4,27806,,,,,0.312531,,,,,
5,29054,,,,,0.224922,,,,,
6,30302,,,,,0.177418,,,,,
7,31558,,,,,0.152915,,,,,
8,32806,,,,,0.138314,,,,,
0,22798,,,,,,,,,0.49665,
0,127294,,,,,,,,,,0.0
