,Memory usage,FPR Prefix-BF,Multi-Prefix-BF (p=0.0),Multi-Prefix-BF (p=0.3),Multi-Prefix-BF (p=0.5),Multi-Prefix-BF (p=0.7)
0,90539,0.845727,,,,0.845727
1,181001,0.612622,,,,0.612622
2,271463,0.469007,,,,0.469007
3,361927,0.369077,,,,0.369077
4,452388,0.28254,,,,0.28254
5,542848,0.220876,,,,0.220876
6,633311,0.17244,,,,0.17244
7,723774,0.132727,,,,0.132727
8,814236,0.101625,,,,0.101625
9,904696,0.0828351,,,,0.0828351
10,995158,0.0638473,,,,0.0638473
11,1085622,0.049622,,,,0.049622
12,1176083,0.0384643,,,,0.0384643
13,1266549,0.0299583,,,,0.0299583
14,1357008,0.0244263,,,,0.0244263
15,1447472,0.0196429,,,,0.0196429
16,1537932,0.0139445,,,,0.0139445
17,1628396,0.0123639,,,,0.0123639
18,1718857,0.00918194,,,,0.00918194
19,1809317,0.00694625,,,,0.00694625
20,1899781,0.00552164,,,,0.00552164
21,1990243,0.0044194,,,,0.0044194
22,2080704,0.00342113,,,,0.00342113
23,2171166,0.00270363,,,,0.00270363
24,2261629,0.00239167,,,,0.00239167
25,125077,,0.652272,,,
26,250074,,0.408716,,,
27,375078,,0.253777,,,
28,500076,,0.163622,,,
29,625075,,0.102873,,,
30,750075,,0.0654798,,,
31,875075,,0.0422078,,,
32,1000072,,0.0263188,,,
33,1125077,,0.0169913,,,
34,1250074,,0.0106585,,,
35,1375076,,0.00667589,,,
36,1500075,,0.00407624,,,
37,1625073,,0.00266204,,,
38,1750078,,0.00167417,,,
39,1875074,,0.000977466,,,
40,2000074,,0.00065511,,,
41,2125074,,0.000447139,,,
42,2250076,,0.00029116,,,
43,2375075,,0.000249566,,,
44,2500075,,0.000166377,,,
45,2625073,,0.000103986,,,
46,2750076,,3.11957e-05,,,
47,2875073,,4.15943e-05,,,
48,3000075,,1.03986e-05,,,
49,3125075,,3.11957e-05,,,
50,110274,,,0.727599,,
51,220472,,,0.476515,,
52,330670,,,0.334865,,
53,440868,,,0.224859,,
54,551065,,,0.158682,,
55,661264,,,0.110849,,
56,771462,,,0.075764,,
57,881659,,,0.0519825,,
58,991854,,,0.0364886,,
59,1102055,,,0.024863,,
60,1212255,,,0.0167937,,
61,1322454,,,0.0122183,,
62,1432650,,,0.00811089,,
63,1542849,,,0.00611436,,
64,1653046,,,0.00412824,,
65,1763244,,,0.00304678,,
66,1873443,,,0.00190294,,
67,1983641,,,0.00138301,,
68,2093838,,,0.00103986,,
69,2204035,,,0.000613516,,
70,2314235,,,0.000592719,,
71,2424434,,,0.000415943,,
72,2534634,,,0.000207972,,
73,2644829,,,0.000197573,,
74,2755029,,,6.23915e-05,,
75,100407,,,,0.785425,
76,200736,,,,0.537929,
77,301065,,,,0.39969,
78,401397,,,,0.287916,
79,501728,,,,0.211289,
80,602057,,,,0.154024,
81,702387,,,,0.113355,
82,802717,,,,0.0837085,
83,903045,,,,0.0613828,
84,1003377,,,,0.0459929,
85,1103706,,,,0.0335978,
86,1204039,,,,0.0247174,
87,1304368,,,,0.0177504,
88,1404698,,,,0.0128734,
89,1505029,,,,0.00935872,
90,1605357,,,,0.00707103,
91,1705686,,,,0.00537606,
92,1806019,,,,0.00424262,
93,1906347,,,,0.00288041,
94,2006677,,,,0.00211091,
95,2107007,,,,0.00136221,
96,2207338,,,,0.00112305,
97,2307669,,,,0.000790292,
98,2407999,,,,0.000499132,
99,2508327,,,,0.000426342,
