,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Range Bloom Filter,SuRF Real,SuRF Base,FST
0,1415807,0.0,,,,,,
1,1285587,0.98405,,,,,,
2,1083924,0.999883,,,,,,
3,906932,0.999883,,,,,,
4,701975,0.999883,,,,,,
5,493795,0.999883,,,,,,
6,328983,0.999883,,,,,,
7,182245,0.999883,,,,,,
8,164066,0.999895,,,,,,
9,164065,0.999895,,,,,,
10,164065,0.999895,,,,,,
0,164065,,0.999895,,,,,
1,164065,,0.999895,,,,,
2,164150,,0.999275,,,,,
3,164674,,0.997346,,,,,
4,166808,,0.991943,,,,,
5,173476,,0.979162,,,,,
6,190846,,0.952863,,,,,
7,256197,,0.90065,,,,,
8,341311,,0.807954,,,,,
9,489697,,0.667466,,,,,
10,702422,,0.4884,,,,,
11,952302,,0.299371,,,,,
12,1176596,,0.144733,,,,,
13,1323372,,0.0527971,,,,,
14,1390797,,0.0133659,,,,,
0,619882,,,0.993416,,,,
1,632382,,,0.992481,,,,
2,644882,,,0.991183,,,,
3,657382,,,0.988856,,,,
4,669882,,,0.987172,,,,
5,682382,,,0.984202,,,,
0,12534,,,,1.0,,,
1,75034,,,,0.997977,,,
2,137534,,,,0.973853,,,
3,200034,,,,0.927429,,,
4,262534,,,,0.86972,,,
5,325034,,,,0.789022,,,
6,387534,,,,0.700968,,,
7,450034,,,,0.624152,,,
0,164031,,,,,0.999883,,
1,176535,,,,,0.999883,,
2,189031,,,,,0.999883,,
3,201535,,,,,0.999883,,
4,214031,,,,,0.999521,,
5,250526,,,,,0.999392,,
6,263030,,,,,0.999287,,
7,275526,,,,,0.99924,,
8,288022,,,,,0.99924,,
0,164031,,,,,,0.999883,
0,1415776,,,,,,,0.0
