,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Range Bloom Filter,SuRF Real,SuRF Base,FST
0,555081,0.00025102,,,,,,
1,538525,0.409204,,,,,,
2,508959,0.415835,,,,,,
3,383040,0.62665,,,,,,
4,325783,0.668277,,,,,,
5,250636,0.721766,,,,,,
6,235864,0.742412,,,,,,
7,232916,0.749357,,,,,,
8,232540,0.749691,,,,,,
9,232194,0.749775,,,,,,
10,232194,0.749775,,,,,,
0,232194,,0.749775,,,,,
1,232194,,0.749775,,,,,
2,232590,,0.740069,,,,,
3,233986,,0.721514,,,,,
4,237482,,0.693024,,,,,
5,257234,,0.618513,,,,,
6,289287,,0.510804,,,,,
7,330425,,0.39749,,,,,
8,377902,,0.278946,,,,,
9,442179,,0.167974,,,,,
10,492085,,0.089635,,,,,
11,525315,,0.0390963,,,,,
12,543016,,0.0146847,,,,,
13,551243,,0.0039954,,,,,
14,553808,,0.0012551,,,,,
0,112380,,,0.74624,,,,
1,124880,,,0.735111,,,,
2,137380,,,0.726932,,,,
3,149880,,,0.721075,,,,
4,162380,,,0.714172,,,,
5,174880,,,0.70296,,,,
0,12534,,,,0.974229,,,
1,75034,,,,0.69886,,,
2,137534,,,,0.538165,,,
3,200034,,,,0.369543,,,
4,262534,,,,0.234641,,,
5,325034,,,,0.138145,,,
6,387534,,,,0.0804518,,,
7,450034,,,,0.0463968,,,
0,453038,,,,,0.441481,,
1,465550,,,,,0.441481,,
2,478046,,,,,0.441146,,
3,490542,,,,,0.441146,,
4,503046,,,,,0.430101,,
5,515550,,,,,0.424914,,
6,528046,,,,,0.415898,,
7,540542,,,,,0.411045,,
8,553046,,,,,0.408388,,
0,453038,,,,,,0.441481,
0,555088,,,,,,,0.000481121
