,Memory usage,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,Bloomed FST height=7,Range Bloom Filter,SuRF Real,SuRF Base,FST
0,899719,0.0204621,,,,,,
1,780271,0.0496877,,,,,,
2,608659,0.103031,,,,,,
3,480106,0.159686,,,,,,
4,365822,0.22923,,,,,,
5,287503,0.2968,,,,,,
6,211749,0.339207,,,,,,
7,196987,0.362897,,,,,,
8,193882,0.369853,,,,,,
9,193845,0.370072,,,,,,
10,193845,0.370072,,,,,,
0,193845,,0.370072,,,,,
1,193845,,0.370072,,,,,
2,203285,,0.356974,,,,,
3,225101,,0.33411,,,,,
4,299269,,0.304498,,,,,
5,355006,,0.263385,,,,,
6,427798,,0.220362,,,,,
7,512489,,0.176879,,,,,
8,602109,,0.134346,,,,,
9,690491,,0.0963985,,,,,
10,766524,,0.067152,,,,,
11,826146,,0.0447053,,,,,
12,864797,,0.0318787,,,,,
13,886109,,0.024567,,,,,
14,895422,,0.0215902,,,,,
0,210009,,,0.222179,,,,
1,222509,,,0.187888,,,,
2,235009,,,0.163707,,,,
3,247509,,,0.149544,,,,
4,260009,,,0.139213,,,,
5,272509,,,0.128591,,,,
0,12534,,,,0.99391,,,
1,75034,,,,0.244125,,,
2,137534,,,,0.131076,,,
3,200034,,,,0.090215,,,
4,262534,,,,0.065157,,,
5,325034,,,,0.0488207,,,
6,387534,,,,0.0371953,,,
7,450034,,,,0.0297583,,,
0,210768,,,,,0.361225,,
1,223272,,,,,0.361225,,
2,273326,,,,,0.351752,,
3,285822,,,,,0.351752,,
4,298326,,,,,0.262539,,
5,310830,,,,,0.216852,,
6,323326,,,,,0.192066,,
7,335822,,,,,0.178174,,
8,348326,,,,,0.171405,,
0,210768,,,,,,0.361225,
0,903506,,,,,,,0.03848
