,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,164117,0.196548,,,,,
1,164117,0.196548,,,,,
2,164210,0.196508,,,,,
3,164726,0.196198,,,,,
4,166673,0.195438,,,,,
5,173209,0.193748,,,,,
6,191357,0.189538,,,,,
7,257388,0.180987,,,,,
8,344820,0.165327,,,,,
9,493668,0.141136,,,,,
10,706157,0.107574,,,,,
11,952556,0.0691528,,,,,
12,1174245,0.0351714,,,,,
13,1321575,0.0134905,,,,,
14,1390274,0.00345014,,,,,
0,164210,,0.196358,,,,
1,164210,,0.196358,,,,
2,164303,,0.196318,,,,
3,164821,,0.196008,,,,
4,166840,,0.195248,,,,
5,173416,,0.193558,,,,
6,191544,,0.189348,,,,
7,257579,,0.180797,,,,
8,345015,,0.165137,,,,
9,493915,,0.140946,,,,
10,706445,,0.107384,,,,
11,952917,,0.0689728,,,,
12,1174556,,0.0350114,,,,
13,1321723,,0.0133605,,,,
14,1390332,,0.00344014,,,,
0,164219,,,0.196348,,,
1,164219,,,0.196348,,,
2,164313,,,0.196308,,,
3,164835,,,0.195998,,,
4,166854,,,0.195238,,,
5,173430,,,0.193548,,,
6,191578,,,0.189338,,,
7,257609,,,0.180787,,,
8,345033,,,0.165127,,,
9,493937,,,0.140936,,,
10,706483,,,0.107374,,,
11,952937,,,0.0689728,,,
12,1174580,,,0.0350114,,,
13,1321740,,,0.0133605,,,
14,1390349,,,0.00344014,,,
0,164219,,,,0.196348,,
1,164219,,,,0.196348,,
2,164313,,,,0.196308,,
3,164835,,,,0.195998,,
4,166854,,,,0.195238,,
5,173430,,,,0.193548,,
6,191578,,,,0.189338,,
7,257609,,,,0.180787,,
8,345033,,,,0.165127,,
9,493937,,,,0.140936,,
10,706483,,,,0.107374,,
11,952937,,,,0.0689728,,
12,1174580,,,,0.0350114,,
13,1321740,,,,0.0133605,,
14,1390349,,,,0.00344014,,
0,164181,,,,,0.196398,
0,1413548,,,,,,0.0
