,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,145602,0.873963,,,,,
1,145602,0.873963,,,,,
2,145927,0.866569,,,,,
3,147287,0.850601,,,,,
4,157513,0.796932,,,,,
5,177702,0.713028,,,,,
6,224751,0.586931,,,,,
7,286212,0.443855,,,,,
8,362074,0.299649,,,,,
9,433031,0.178134,,,,,
10,488244,0.0918287,,,,,
11,524699,0.039581,,,,,
12,543569,0.0146077,,,,,
13,551982,0.00451239,,,,,
14,555015,0.00109058,,,,,
0,232061,,0.779383,,,,
1,232061,,0.779383,,,,
2,232427,,0.770999,,,,
3,233869,,0.7541,,,,
4,237281,,0.727325,,,,
5,257623,,0.642851,,,,
6,288674,,0.536344,,,,
7,330272,,0.41483,,,,
8,377485,,0.294356,,,,
9,442938,,0.174392,,,,
10,493350,,0.0893674,,,,
11,526382,,0.0386705,,,,
12,543696,,0.0143176,,,,
13,552026,,0.00446237,,,,
14,555039,,0.00104055,,,,
0,405128,,,0.464006,,,
1,405128,,,0.464006,,,
2,405500,,,0.455321,,,
3,406964,,,0.438332,,,
4,410386,,,0.411498,,,
5,417518,,,0.369806,,,
6,428431,,,0.317828,,,
7,443697,,,0.257366,,,
8,461074,,,0.198525,,,
9,478218,,,0.146968,,,
10,513282,,,0.0752899,,,
11,536292,,,0.032137,,,
12,547985,,,0.0117762,,,
13,553379,,,0.00364193,,,
14,555312,,,0.000940498,,,
0,453360,,,,0.390407,,
1,453360,,,,0.390407,,
2,453752,,,,0.381722,,
3,455200,,,,0.364733,,
4,458618,,,,0.337899,,
5,465758,,,,0.296207,,
6,476667,,,,0.244229,,
7,491949,,,,0.183767,,
8,509313,,,,0.124896,,
9,526457,,,,0.0733389,,
10,539546,,,,0.0380502,,
11,548758,,,,0.0159885,,
12,553395,,,,0.00537285,,
13,555251,,,,0.0017009,,
14,555837,,,,0.000560297,,
0,453377,,,,,0.672136,
0,556214,,,,,,0.0
