,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,145602,0.0120904,,,,,
1,145602,0.0120904,,,,,
2,145927,0.0120904,,,,,
3,147287,0.0120904,,,,,
4,157513,0.0120904,,,,,
5,177702,0.0120904,,,,,
6,224751,0.0120704,,,,,
7,286212,0.0120004,,,,,
8,362074,0.0119204,,,,,
9,433031,0.0117304,,,,,
10,488244,0.0113703,,,,,
11,524699,0.0109603,,,,,
12,543569,0.00896027,,,,,
13,551982,0.0067802,,,,,
14,555015,0.00475014,,,,,
0,232061,,0.0120004,,,,
1,232061,,0.0120004,,,,
2,232427,,0.0120004,,,,
3,233869,,0.0120004,,,,
4,237281,,0.0120004,,,,
5,257623,,0.0120004,,,,
6,288674,,0.0120004,,,,
7,330272,,0.0119304,,,,
8,377485,,0.0118704,,,,
9,442938,,0.0117104,,,,
10,493350,,0.0113603,,,,
11,526382,,0.0109603,,,,
12,543696,,0.00896027,,,,
13,552026,,0.0067802,,,,
14,555039,,0.00475014,,,,
0,405128,,,0.00960029,,,
1,405128,,,0.00960029,,,
2,405500,,,0.00960029,,,
3,406964,,,0.00960029,,,
4,410386,,,0.00960029,,,
5,417518,,,0.00960029,,,
6,428431,,,0.00960029,,,
7,443697,,,0.00953029,,,
8,461074,,,0.00949028,,,
9,478218,,,0.00940028,,,
10,513282,,,0.00911027,,,
11,536292,,,0.00875026,,,
12,547985,,,0.00836025,,,
13,553379,,,0.0065102,,,
14,555312,,,0.00471014,,,
0,453360,,,,0.00246007,,
1,453360,,,,0.00246007,,
2,453752,,,,0.00246007,,
3,455200,,,,0.00246007,,
4,458618,,,,0.00246007,,
5,465758,,,,0.00246007,,
6,476667,,,,0.00246007,,
7,491949,,,,0.00239007,,
8,509313,,,,0.00235007,,
9,526457,,,,0.00226007,,
10,539546,,,,0.00224007,,
11,548758,,,,0.00210006,,
12,553395,,,,0.00193006,,
13,555251,,,,0.00179005,,
14,555837,,,,0.00163005,,
0,453377,,,,,0.00246007,
0,556214,,,,,,0.0
