,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,185430,0.385703,,,,,
1,185430,0.385703,,,,,
2,193667,0.373146,,,,,
3,213313,0.351475,,,,,
4,286710,0.319051,,,,,
5,340384,0.279514,,,,,
6,413609,0.232801,,,,,
7,499328,0.186501,,,,,
8,594967,0.140489,,,,,
9,685346,0.101591,,,,,
10,762285,0.0702084,,,,,
11,823182,0.04762,,,,,
12,862994,0.0324649,,,,,
13,886229,0.02431,,,,,
14,895980,0.0209285,,,,,
0,194226,,0.367599,,,,
1,194226,,0.367599,,,,
2,203571,,0.354083,,,,
3,225151,,0.331619,,,,
4,299330,,0.300607,,,,
5,354545,,0.260482,,,,
6,427383,,0.216656,,,,
7,511888,,0.173304,,,,
8,603587,,0.132819,,,,
9,692384,,0.0955906,,,,
10,768012,,0.0657958,,,,
11,826754,,0.045156,,,,
12,865002,,0.0310113,,,,
13,887036,,0.0237327,,,,
14,896272,,0.0207017,,,,
0,200952,,,0.355372,,,
1,200952,,,0.355372,,,
2,210958,,,0.341547,,,
3,270987,,,0.318402,,,
4,308452,,,0.286988,,,
5,362448,,,0.249389,,,
6,434082,,,0.207945,,,
7,517756,,,0.166582,,,
8,608347,,,0.127674,,,
9,694946,,,0.0930441,,,
10,769650,,,0.0644556,,,
11,827920,,,0.0443416,,,
12,865843,,,0.0303618,,,
13,887369,,,0.0235574,,,
14,896322,,,0.0206914,,,
0,201633,,,,0.354032,,
1,201633,,,,0.354032,,
2,211644,,,,0.340206,,
3,271689,,,,0.317061,,
4,309188,,,,0.285648,,
5,363260,,,,0.248039,,
6,434999,,,,0.206584,,
7,518799,,,,0.165191,,
8,609572,,,,0.126241,,
9,696215,,,,0.0916008,,
10,770294,,,,0.0638164,,
11,828155,,,,0.0439704,,
12,865930,,,,0.0302587,,
13,887384,,,,0.0234956,,
14,896341,,,,0.0206295,,
0,211393,,,,,0.363094,
0,904509,,,,,,0.0
