,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,206275,0.0125103,,,,,
1,206275,0.0125103,,,,,
2,212425,0.0125103,,,,,
3,233557,0.0125103,,,,,
4,280867,0.0125003,,,,,
5,357963,0.0124902,,,,,
6,464442,0.0124702,,,,,
7,578151,0.0123802,,,,,
8,702701,0.0120602,,,,,
9,780232,0.0117602,,,,,
10,827557,0.0098202,,,,,
11,852036,0.00909018,,,,,
12,862130,0.00843017,,,,,
13,866466,0.00335007,,,,,
14,867745,0.00169003,,,,,
0,213082,,0.0124902,,,,
1,213082,,0.0124902,,,,
2,220370,,0.0124902,,,,
3,243240,,0.0124902,,,,
4,291410,,0.0124802,,,,
5,370106,,0.0124702,,,,
6,476184,,0.0124602,,,,
7,588149,,0.0123702,,,,
8,707745,,0.0120502,,,,
9,783458,,0.0117602,,,,
10,829653,,0.0098202,,,,
11,852790,,0.00909018,,,,
12,862373,,0.00843017,,,,
13,866484,,0.00335007,,,,
14,867745,,0.00169003,,,,
0,217565,,,0.0124402,,,
1,217565,,,0.0124402,,,
2,225195,,,0.0124402,,,
3,248583,,,0.0124402,,,
4,297645,,,0.0124302,,,
5,375885,,,0.0124202,,,
6,480960,,,0.0124102,,,
7,592090,,,0.0123202,,,
8,710935,,,0.0120002,,,
9,784676,,,0.0117102,,,
10,830254,,,0.0097702,,,
11,853042,,,0.00909018,,,
12,862514,,,0.00843017,,,
13,866484,,,0.00335007,,,
14,867745,,,0.00169003,,,
0,217846,,,,0.0124402,,
1,217846,,,,0.0124402,,
2,225480,,,,0.0124402,,
3,248866,,,,0.0124402,,
4,297951,,,,0.0124302,,
5,376203,,,,0.0124202,,
6,481304,,,,0.0124102,,
7,592528,,,,0.0123202,,
8,711560,,,,0.0120002,,
9,785425,,,,0.0117102,,
10,830556,,,,0.0097702,,
11,853101,,,,0.00909018,,
12,862553,,,,0.00843017,,
13,866484,,,,0.00335007,,
14,867745,,,,0.00169003,,
0,221111,,,,,0.0124702,
0,869532,,,,,,0.0
