,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,206275,0.667109,,,,,
1,206275,0.667109,,,,,
2,212425,0.655709,,,,,
3,233557,0.622849,,,,,
4,280867,0.557736,,,,,
5,357963,0.463499,,,,,
6,464442,0.344268,,,,,
7,578151,0.229988,,,,,
8,702701,0.131396,,,,,
9,780232,0.0644152,,,,,
10,827557,0.0270535,,,,,
11,852036,0.00929542,,,,,
12,862130,0.00284714,,,,,
13,866466,0.00073148,,,,,
14,867745,0.000180056,,,,,
0,213082,,0.657713,,,,
1,213082,,0.657713,,,,
2,220370,,0.644535,,,,
3,243240,,0.609266,,,,
4,291410,,0.543467,,,,
5,370106,,0.447699,,,,
6,476184,,0.330269,,,,
7,588149,,0.218712,,,,
8,707745,,0.125983,,,,
9,783458,,0.0611404,,,,
10,829653,,0.0250729,,,,
11,852790,,0.00866522,,,,
12,862373,,0.00266709,,,,
13,866484,,0.000708972,,,,
14,867745,,0.000180056,,,,
0,217565,,,0.650274,,,
1,217565,,,0.650274,,,
2,225195,,,0.636545,,,
3,248583,,,0.600601,,,
4,297645,,,0.533856,,,
5,375885,,,0.439349,,,
6,480960,,,0.323877,,,
7,592090,,,0.213705,,,
8,710935,,,0.122303,,,
9,784676,,,0.0599138,,,
10,830254,,,0.0245327,,,
11,853042,,,0.00841764,,,
12,862514,,,0.0025433,,,
13,866484,,,0.000708972,,,
14,867745,,,0.000180056,,,
0,217846,,,,0.64979,,
1,217846,,,,0.64979,,
2,225480,,,,0.636061,,
3,248866,,,,0.600106,,
4,297951,,,,0.533361,,
5,376203,,,,0.438831,,
6,481304,,,,0.323336,,
7,592528,,,,0.213097,,
8,711560,,,,0.121527,,
9,785425,,,,0.059036,,
10,830556,,,,0.0242063,,
11,853101,,,,0.00836137,,
12,862553,,,,0.00248703,,
13,866484,,,,0.000708972,,
14,867745,,,,0.000180056,,
0,221111,,,,,0.662957,
0,869532,,,,,,0.0
