,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,164117,0.197269,,,,,
1,164117,0.197269,,,,,
2,164210,0.197169,,,,,
3,164726,0.196939,,,,,
4,166673,0.196228,,,,,
5,173209,0.194377,,,,,
6,191357,0.190046,,,,,
7,257388,0.181742,,,,,
8,344820,0.165985,,,,,
9,493668,0.140463,,,,,
10,706157,0.106228,,,,,
11,952556,0.0692812,,,,,
12,1174245,0.0353659,,,,,
13,1321575,0.0139863,,,,,
14,1390274,0.00352158,,,,,
0,164210,,0.197129,,,,
1,164210,,0.197129,,,,
2,164303,,0.197029,,,,
3,164821,,0.196799,,,,
4,166840,,0.196088,,,,
5,173416,,0.194237,,,,
6,191544,,0.189905,,,,
7,257579,,0.181602,,,,
8,345015,,0.165845,,,,
9,493915,,0.140323,,,,
10,706445,,0.106088,,,,
11,952917,,0.0691511,,,,
12,1174556,,0.0352659,,,,
13,1321723,,0.0139163,,,,
14,1390332,,0.00351158,,,,
0,164219,,,0.197109,,,
1,164219,,,0.197109,,,
2,164313,,,0.197009,,,
3,164835,,,0.196779,,,
4,166854,,,0.196068,,,
5,173430,,,0.194217,,,
6,191578,,,0.189885,,,
7,257609,,,0.181582,,,
8,345033,,,0.165825,,,
9,493937,,,0.140303,,,
10,706483,,,0.106068,,,
11,952937,,,0.0691411,,,
12,1174580,,,0.0352559,,,
13,1321740,,,0.0139163,,,
14,1390349,,,0.00351158,,,
0,164219,,,,0.197109,,
1,164219,,,,0.197109,,
2,164313,,,,0.197009,,
3,164835,,,,0.196779,,
4,166854,,,,0.196068,,
5,173430,,,,0.194217,,
6,191578,,,,0.189885,,
7,257609,,,,0.181582,,
8,345033,,,,0.165825,,
9,493937,,,,0.140303,,
10,706483,,,,0.106068,,
11,952937,,,,0.0691411,,
12,1174580,,,,0.0352559,,
13,1321740,,,,0.0139163,,
14,1390349,,,,0.00351158,,
0,164181,,,,,0.197269,
0,1413548,,,,,,0.0
