,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,145602,0.644133,,,,,
1,145602,0.644133,,,,,
2,145927,0.643464,,,,,
3,147287,0.641322,,,,,
4,157513,0.622793,,,,,
5,177702,0.58975,,,,,
6,224751,0.505349,,,,,
7,286212,0.40137,,,,,
8,362074,0.276709,,,,,
9,433031,0.167977,,,,,
10,488244,0.0879712,,,,,
11,524699,0.0389434,,,,,
12,543569,0.0148701,,,,,
13,551982,0.00455139,,,,,
14,555015,0.00103745,,,,,
0,232061,,0.453755,,,,
1,232061,,0.453755,,,,
2,232427,,0.452975,,,,
3,233869,,0.45071,,,,
4,237281,,0.446159,,,,
5,257623,,0.412949,,,,
6,288674,,0.365249,,,,
7,330272,,0.305166,,,,
8,377485,,0.242529,,,,
9,442938,,0.146604,,,,
10,493350,,0.0776078,,,,
11,526382,,0.0356637,,,,
12,543696,,0.0146693,,,,
13,552026,,0.00451792,,,,
14,555039,,0.00100398,,,,
0,405128,,,0.156621,,,
1,405128,,,0.156621,,,
2,405500,,,0.155807,,,
3,406964,,,0.153542,,,
4,410386,,,0.14898,,,
5,417518,,,0.140513,,,
6,428431,,,0.128699,,,
7,443697,,,0.113629,,,
8,461074,,,0.097721,,,
9,478218,,,0.083721,,,
10,513282,,,0.0435282,,,
11,536292,,,0.0192542,,,
12,547985,,,0.0075968,,,
13,553379,,,0.00234263,,,
14,555312,,,0.000580079,,,
0,453360,,,,0.0943074,,
1,453360,,,,0.0943074,,
2,453752,,,,0.0934931,,
3,455200,,,,0.0912285,,
4,458618,,,,0.086666,,
5,465758,,,,0.0781991,,
6,476667,,,,0.0663856,,
7,491949,,,,0.0513147,,
8,509313,,,,0.035396,,
9,526457,,,,0.021396,,
10,539546,,,,0.0112781,,
11,548758,,,,0.00485258,,
12,553395,,,,0.00169561,,
13,555251,,,,0.000524302,,
14,555837,,,,0.00016733,,
0,453377,,,,,0.100945,
0,556214,,,,,,0.0
