,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,206275,0.525355,,,,,
1,206275,0.525355,,,,,
2,212425,0.5132,,,,,
3,233557,0.484213,,,,,
4,280867,0.433483,,,,,
5,357963,0.363152,,,,,
6,464442,0.275585,,,,,
7,578151,0.190604,,,,,
8,702701,0.115938,,,,,
9,780232,0.0632988,,,,,
10,827557,0.0319778,,,,,
11,852036,0.0157413,,,,,
12,862130,0.0103663,,,,,
13,866466,0.00871937,,,,,
14,867745,0.00820409,,,,,
0,213082,,0.508138,,,,
1,213082,,0.508138,,,,
2,220370,,0.495489,,,,
3,243240,,0.466138,,,,
4,291410,,0.416125,,,,
5,370106,,0.345602,,,,
6,476184,,0.260733,,,,
7,588149,,0.178974,,,,
8,707745,,0.110371,,,,
9,783458,,0.0600354,,,,
10,829653,,0.0301995,,,,
11,852790,,0.0151654,,,,
12,862373,,0.0102046,,,,
13,866484,,0.00870927,,,,
14,867745,,0.00820409,,,,
0,217565,,,0.499096,,,
1,217565,,,0.499096,,,
2,225195,,,0.486375,,,
3,248583,,,0.456984,,,
4,297645,,,0.40681,,,
5,375885,,,0.337732,,,
6,480960,,,0.254731,,,
7,592090,,,0.174721,,,
8,710935,,,0.107179,,,
9,784676,,,0.0590957,,,
10,830254,,,0.0297146,,,
11,853042,,,0.0150139,,,
12,862514,,,0.0101541,,,
13,866484,,,0.00870927,,,
14,867745,,,0.00820409,,,
0,217846,,,,0.498348,,
1,217846,,,,0.498348,,
2,225480,,,,0.485628,,
3,248866,,,,0.456236,,
4,297951,,,,0.406062,,
5,376203,,,,0.336984,,
6,481304,,,,0.253983,,
7,592528,,,,0.173973,,
8,711560,,,,0.106411,,
9,785425,,,,0.0583279,,
10,830556,,,,0.0294317,,
11,853101,,,,0.0149028,,
12,862553,,,,0.0100429,,
13,866484,,,,0.00870927,,
14,867745,,,,0.00820409,,
0,221111,,,,,0.500621,
0,869532,,,,,,0.0
