,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,164117,0.96068,,,,,
1,164117,0.96068,,,,,
2,164210,0.960336,,,,,
3,164726,0.959088,,,,,
4,166673,0.95527,,,,,
5,173209,0.94515,,,,,
6,191357,0.920919,,,,,
7,257388,0.873307,,,,,
8,344820,0.784644,,,,,
9,493668,0.649961,,,,,
10,706157,0.477442,,,,,
11,952556,0.295361,,,,,
12,1174245,0.144793,,,,,
13,1321575,0.0525054,,,,,
14,1390274,0.012551,,,,,
0,164210,,0.960551,,,,
1,164210,,0.960551,,,,
2,164303,,0.960207,,,,
3,164821,,0.958959,,,,
4,166840,,0.955077,,,,
5,173416,,0.944892,,,,
6,191544,,0.920661,,,,
7,257579,,0.873049,,,,
8,345015,,0.784386,,,,
9,493915,,0.64966,,,,
10,706445,,0.477108,,,,
11,952917,,0.295007,,,,
12,1174556,,0.144503,,,,
13,1321723,,0.052387,,,,
14,1390332,,0.0125187,,,,
0,164219,,,0.96054,,,
1,164219,,,0.96054,,,
2,164313,,,0.960196,,,
3,164835,,,0.958949,,,
4,166854,,,0.955066,,,
5,173430,,,0.944881,,,
6,191578,,,0.92065,,,
7,257609,,,0.873039,,,
8,345033,,,0.784375,,,
9,493937,,,0.649638,,,
10,706483,,,0.477087,,,
11,952937,,,0.294996,,,
12,1174580,,,0.144492,,,
13,1321740,,,0.0523763,,,
14,1390349,,,0.0125079,,,
0,164219,,,,0.96054,,
1,164219,,,,0.96054,,
2,164313,,,,0.960196,,
3,164835,,,,0.958949,,
4,166854,,,,0.955066,,
5,173430,,,,0.944881,,
6,191578,,,,0.92065,,
7,257609,,,,0.873039,,
8,345033,,,,0.784375,,
9,493937,,,,0.649638,,
10,706483,,,,0.477087,,
11,952937,,,,0.294996,,
12,1174580,,,,0.144492,,
13,1321740,,,,0.0523763,,
14,1390349,,,,0.0125079,,
0,164181,,,,,0.966821,
0,1413548,,,,,,0.0
