,Memory usage,FPR Surfing Trie,FPR SuRFReal
0,1.8446744071562068e+19,0.645896,
1,1.8446744071562068e+19,0.645896,
2,1.8446744071562068e+19,0.645896,
3,1.8446744071562068e+19,0.645896,
4,1.8446744071562068e+19,0.583676,
5,1.8446744071562068e+19,0.554642,
6,1.8446744071562068e+19,0.537975,
7,1.8446744071562068e+19,0.528871,
8,1.8446744071562068e+19,0.524178,
9,221111.0,,0.662957
10,233615.0,,0.662957
11,246119.0,,0.647371
12,258623.0,,0.647371
13,271119.0,,0.587243
14,283615.0,,0.559728
15,296119.0,,0.543928
16,308615.0,,0.53542
17,321119.0,,0.530863
