,Memory usage,FPR Surfing Trie,FPR SuRFReal
0,1.8446744071562068e+19,0.96054,
1,1.8446744071562068e+19,0.96054,
2,1.8446744071562068e+19,0.96054,
3,1.8446744071562068e+19,0.96054,
4,1.8446744071562068e+19,0.931922,
5,1.8446744071562068e+19,0.918263,
6,1.8446744071562068e+19,0.910627,
7,1.8446744071562068e+19,0.90725,
8,1.8446744071562068e+19,0.90512,
9,164181.0,,0.966821
10,176685.0,,0.966821
11,189181.0,,0.96054
12,201685.0,,0.96054
13,214181.0,,0.932696
14,250648.0,,0.919736
15,263152.0,,0.912649
16,275648.0,,0.909197
17,288152.0,,0.907185
