,Memory usage,FPR Surfing Trie,FPR SuRFReal
0,1.8446744071562068e+19,0.489245,
1,1.8446744071562068e+19,0.489245,
2,1.8446744071562068e+19,0.489245,
3,1.8446744071562068e+19,0.489245,
4,1.8446744071562068e+19,0.306239,
5,1.8446744071562068e+19,0.217914,
6,1.8446744071562068e+19,0.169467,
7,1.8446744071562068e+19,0.142844,
8,1.8446744071562068e+19,0.129245,
9,221111.0,,0.500621
10,233615.0,,0.500621
11,246119.0,,0.49659
12,258623.0,,0.49659
13,271119.0,,0.314686
14,283615.0,,0.226724
15,296119.0,,0.178621
16,308615.0,,0.1522
17,321119.0,,0.138681
