,Memory usage,FPR Surfing Trie,FPR SuRFReal
0,1.8446744071562068e+19,0.390267,
1,1.8446744071562068e+19,0.390267,
2,1.8446744071562068e+19,0.390267,
3,1.8446744071562068e+19,0.390267,
4,1.8446744071562068e+19,0.384104,
5,1.8446744071562068e+19,0.380862,
6,1.8446744071562068e+19,0.375069,
7,1.8446744071562068e+19,0.370767,
8,1.8446744071562068e+19,0.369006,
9,453377.0,,0.672136
10,465889.0,,0.672136
11,478385.0,,0.671986
12,490881.0,,0.671986
13,503385.0,,0.665823
14,515889.0,,0.662581
15,528385.0,,0.657408
16,540881.0,,0.654507
17,553385.0,,0.652746
