,Memory usage,FPR Surfing Trie,FPR SuRFReal
0,1.8446744071562068e+19,0.197089,
1,1.8446744071562068e+19,0.197089,
2,1.8446744071562068e+19,0.197089,
3,1.8446744071562068e+19,0.197089,
4,1.8446744071562068e+19,0.101085,
5,1.8446744071562068e+19,0.0540943,
6,1.8446744071562068e+19,0.0286629,
7,1.8446744071562068e+19,0.0145365,
8,1.8446744071562068e+19,0.00705317,
9,164181.0,,0.197269
10,176685.0,,0.197269
11,189181.0,,0.197089
12,201685.0,,0.197089
13,214181.0,,0.101196
14,250648.0,,0.0542444
15,263152.0,,0.028803
16,275648.0,,0.0146666
17,288152.0,,0.00721325
