,Memory usage,FPR Surfing Trie,FPR SuRFReal
0,1.8446744071562068e+19,0.33167,
1,1.8446744071562068e+19,0.33167,
2,1.8446744071562068e+19,0.33167,
3,1.8446744071562068e+19,0.33167,
4,1.8446744071562068e+19,0.24042,
5,1.8446744071562068e+19,0.194965,
6,1.8446744071562068e+19,0.170366,
7,1.8446744071562068e+19,0.156778,
8,1.8446744071562068e+19,0.149726,
9,211393.0,,0.363094
10,223897.0,,0.363094
11,274040.0,,0.352619
12,286536.0,,0.352619
13,299040.0,,0.262658
14,311544.0,,0.217677
15,324040.0,,0.193284
16,336544.0,,0.17983
17,349040.0,,0.172748
