,Memory usage,FPR Surfing Trie,FPR SuRFReal
0,1.8446744071562068e+19,0.0124402,
1,1.8446744071562068e+19,0.0124402,
2,1.8446744071562068e+19,0.0124402,
3,1.8446744071562068e+19,0.0124402,
4,1.8446744071562068e+19,0.00643013,
5,1.8446744071562068e+19,0.00311006,
6,1.8446744071562068e+19,0.00166003,
7,1.8446744071562068e+19,0.000900018,
8,1.8446744071562068e+19,0.000420008,
9,221111.0,,0.0124702
10,233615.0,,0.0124702
11,246119.0,,0.0124502
12,258623.0,,0.0124502
13,271119.0,,0.00645013
14,283615.0,,0.00313006
15,296119.0,,0.00167003
16,308615.0,,0.000910018
17,321119.0,,0.000440009
