,Memory usage,RangeBF,Range KR-BF
0,12534,1.0,
1,137534,0.973853,
2,262534,0.86972,
3,387534,0.700968,
4,512534,0.546833,
5,637534,0.419243,
6,762534,0.31911,
7,887534,0.251918,
0,12534,,1.0
1,137534,,0.999497
2,262534,,0.993183
3,387534,,0.97342
4,512534,,0.937544
5,637534,,0.880502
6,762534,,0.817531
7,887534,,0.757917
