,Memory usage,RangeBF,Range KR-BF
0,12534,1.0,
1,137534,0.904902,
2,262534,0.656034,
3,387534,0.430308,
4,512534,0.285391,
5,637534,0.206464,
6,762534,0.165209,
7,887534,0.145648,
0,12534,,1.0
1,137534,,0.996814
2,262534,,0.970233
3,387534,,0.903021
4,512534,,0.81045
5,637534,,0.72878
6,762534,,0.666168
7,887534,,0.625524
