,Memory usage,RangeBF,Range KR-BF
0,12534,0.99391,
1,137534,0.131076,
2,262534,0.065157,
3,387534,0.0371953,
4,512534,0.0247342,
5,637534,0.0181537,
6,762534,0.0146441,
7,887534,0.0129416,
0,12534,,0.997201
1,137534,,0.160187
2,262534,,0.0999499
3,387534,,0.0773987
4,512534,,0.0640811
5,637534,,0.055819
6,762534,,0.049907
7,887534,,0.0471808
