,Memory usage,RangeBF,Range KR-BF
0,12534,0.999976,
1,137534,0.975046,
2,262534,0.873206,
3,387534,0.712158,
4,512534,0.565864,
5,637534,0.437059,
6,762534,0.343276,
7,887534,0.279666,
0,12534,,0.999976
1,137534,,0.999432
2,262534,,0.993693
3,387534,,0.974916
4,512534,,0.940117
5,637534,,0.886316
6,762534,,0.828173
7,887534,,0.771094
