,Memory usage,RangeBF,Range KR-BF
0,12534,0.999958,
1,137534,0.911476,
2,262534,0.674409,
3,387534,0.456778,
4,512534,0.320824,
5,637534,0.244649,
6,762534,0.20746,
7,887534,0.188802,
0,12534,,0.999958
1,137534,,0.996902
2,262534,,0.971737
3,387534,,0.910543
4,512534,,0.828229
5,637534,,0.75603
6,762534,,0.700055
7,887534,,0.666148
