,Memory usage,RangeBF,Range KR-BF
0,12534,0.992766,
1,137534,0.094898,
2,262534,0.0360566,
3,387534,0.0192896,
4,512534,0.0119648,
5,637534,0.00855065,
6,762534,0.00687901,
7,887534,0.00598748,
0,12534,,0.996829
1,137534,,0.120084
2,262534,,0.0593176
3,387534,,0.0410005
4,512534,,0.0315989
5,637534,,0.0269588
6,762534,,0.0237574
7,887534,,0.0223796
