,Memory usage,Prefix-BF,Prefix-QF
0,78861,0.600711,
1,157653,0.360834,
2,236442,0.211004,
3,315232,0.122911,
4,394023,0.0717013,
5,472812,0.0441917,
6,551604,0.0258914,
7,630393,0.0144548,
8,709183,0.00863652,
9,787974,0.00503646,
10,866763,0.00298187,
11,945553,0.00179094,
12,1024343,0.00114548,
13,1103134,0.000781832,
14,1181923,0.000409098,
15,1260710,0.000163639,
16,1339502,0.000118184,
17,1418293,0.000118184,
18,1497083,2.72732e-05,
19,1575871,3.63643e-05,
20,1654662,0.0,
21,1733452,9.09107e-06,
22,1812243,0.0,
23,1891032,9.09107e-06,
24,1969821,0.0,
25,524288,,0.282178
26,655360,,0.152648
27,786432,,0.0796924
28,917504,,0.0409007
29,1048576,,0.0207186
30,1179648,,0.0103456
31,1310720,,0.005191
32,1441792,,0.00255459
33,1572864,,0.00130911
34,1703936,,0.000663648
35,1835008,,0.000327279
36,1966080,,0.000154548
