,Memory usage,Prefix-BF,Prefix-QF
0,88621,0.884586,
1,177168,0.662885,
2,265715,0.517869,
3,354264,0.420955,
4,442812,0.336261,
5,531357,0.268467,
6,619908,0.214628,
7,708451,0.172208,
8,797001,0.140852,
9,885551,0.112641,
10,974098,0.0917133,
11,1062645,0.0752489,
12,1151194,0.0595936,
13,1239740,0.0471476,
14,1328286,0.0375744,
15,1416834,0.031956,
16,1505385,0.0259921,
17,1593930,0.0216737,
18,1682479,0.0166917,
19,1771027,0.0145188,
20,1859576,0.0115551,
21,1948122,0.00901859,
22,2036669,0.00707305,
23,2125218,0.00648211,
24,2213765,0.00507296,
25,1048576,,0.240647
26,1310720,,0.129915
27,1572864,,0.0665848
28,1835008,,0.0343016
29,2097152,,0.0172462
30,2359296,,0.00863676
31,2621440,,0.00412746
32,2883584,,0.0018819
33,3145728,,0.00096368
34,3407872,,0.000527297
35,3670016,,0.000254557
36,3932160,,9.09132e-05
