,Memory usage,RangeBF,Rosetta,Empty Ranges,Sorted array,CHaREQ,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,167,0.917266,,,,,,,,,
1,292,0.661871,,,,,,,,,
2,417,0.482014,,,,,,,,,
3,542,0.384892,,,,,,,,,
4,667,0.410072,,,,,,,,,
5,792,0.381295,,,,,,,,,
6,917,0.374101,,,,,,,,,
7,1042,0.368705,,,,,,,,,
8,1167,0.368705,,,,,,,,,
9,1292,0.368705,,,,,,,,,
0,274,,0.72482,,,,,,,,
1,524,,0.354317,,,,,,,,
2,776,,0.149281,,,,,,,,
3,1025,,0.0377698,,,,,,,,
4,1276,,0.0179856,,,,,,,,
0,1072,,,0.0,,,,,,,
1,1072,,,0.0,,,,,,,
2,736,,,0.0,,,,,,,
3,736,,,0.0,,,,,,,
4,432,,,0.0683453,,,,,,,
0,2000,,,,0.0,,,,,,
0,715,,,,,0.381295,,,,,
1,675,,,,,0.422662,,,,,
2,654,,,,,0.401079,,,,,
3,625,,,,,0.453237,,,,,
4,600,,,,,0.438849,,,,,
5,582,,,,,0.492806,,,,,
6,568,,,,,0.471223,,,,,
7,548,,,,,0.453237,,,,,
0,1455,,,,,,0.0,,,,
1,1455,,,,,,0.0,,,,
2,1455,,,,,,0.0,,,,
3,1451,,,,,,0.178058,,,,
4,1451,,,,,,0.178058,,,,
5,1451,,,,,,0.178058,,,,
6,1451,,,,,,0.178058,,,,
7,1451,,,,,,0.178058,,,,
8,1451,,,,,,0.178058,,,,
9,1451,,,,,,0.178058,,,,
10,1451,,,,,,0.178058,,,,
0,1451,,,,,,,0.178058,,,
1,1451,,,,,,,0.178058,,,
2,1455,,,,,,,0.0,,,
3,1455,,,,,,,0.0,,,
4,1455,,,,,,,0.0,,,
5,1455,,,,,,,0.0,,,
6,1455,,,,,,,0.0,,,
7,1455,,,,,,,0.0,,,
8,1455,,,,,,,0.0,,,
9,1455,,,,,,,0.0,,,
10,1455,,,,,,,0.0,,,
11,1455,,,,,,,0.0,,,
12,1455,,,,,,,0.0,,,
13,1455,,,,,,,0.0,,,
14,1455,,,,,,,0.0,,,
0,1403,,,,,,,,0.178058,,
1,1459,,,,,,,,0.178058,,
2,1507,,,,,,,,0.178058,,
3,1555,,,,,,,,0.178058,,
4,1611,,,,,,,,0.178058,,
5,1659,,,,,,,,0.161871,,
6,1707,,,,,,,,0.102518,,
7,1755,,,,,,,,0.0305755,,
8,1811,,,,,,,,0.0,,
0,1403,,,,,,,,,0.178058,
0,1423,,,,,,,,,,0.0
