,Memory usage,RangeBF,Rosetta,Empty Ranges,Sorted array,CHaREQ,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,167,0.551181,,,,,,,,,
1,292,0.365861,,,,,,,,,
2,417,0.285433,,,,,,,,,
3,542,0.284589,,,,,,,,,
4,667,0.284308,,,,,,,,,
5,792,0.284308,,,,,,,,,
6,917,0.284308,,,,,,,,,
7,1042,0.284308,,,,,,,,,
8,1167,0.284308,,,,,,,,,
9,1292,0.284308,,,,,,,,,
0,274,,0.397919,,,,,,,,
1,524,,0.0742407,,,,,,,,
2,774,,0.0185602,,,,,,,,
3,1026,,0.0208099,,,,,,,,
4,1274,,0.0,,,,,,,,
0,384,,,0.0151856,,,,,,,
1,360,,,0.0202475,,,,,,,
2,280,,,0.048369,,,,,,,
3,232,,,0.0736783,,,,,,,
4,192,,,0.109111,,,,,,,
0,800,,,,0.0,,,,,,
0,394,,,,,0.544713,,,,,
1,380,,,,,0.553993,,,,,
2,364,,,,,0.558493,,,,,
3,348,,,,,0.551181,,,,,
4,342,,,,,0.543307,,,,,
5,333,,,,,0.557649,,,,,
6,319,,,,,0.551744,,,,,
7,318,,,,,0.55793,,,,,
0,1145,,,,,,0.0,,,,
1,1145,,,,,,0.0,,,,
2,1115,,,,,,0.320585,,,,
3,1115,,,,,,0.320585,,,,
4,1113,,,,,,0.548369,,,,
5,1113,,,,,,0.548369,,,,
6,1112,,,,,,0.548369,,,,
7,1112,,,,,,0.548369,,,,
8,1112,,,,,,0.548369,,,,
9,1112,,,,,,0.548369,,,,
10,1112,,,,,,0.548369,,,,
0,1112,,,,,,,0.548369,,,
1,1112,,,,,,,0.548369,,,
2,1140,,,,,,,0.250562,,,
3,1142,,,,,,,0.0,,,
4,1145,,,,,,,0.0,,,
5,1145,,,,,,,0.0,,,
6,1145,,,,,,,0.0,,,
7,1145,,,,,,,0.0,,,
8,1145,,,,,,,0.0,,,
9,1145,,,,,,,0.0,,,
10,1145,,,,,,,0.0,,,
11,1145,,,,,,,0.0,,,
12,1145,,,,,,,0.0,,,
13,1145,,,,,,,0.0,,,
14,1145,,,,,,,0.0,,,
0,1064,,,,,,,,0.548369,,
1,1096,,,,,,,,0.548369,,
2,1120,,,,,,,,0.548369,,
3,1144,,,,,,,,0.548369,,
4,1160,,,,,,,,0.548369,,
5,1184,,,,,,,,0.415636,,
6,1208,,,,,,,,0.1991,,
7,1224,,,,,,,,0.0947694,,
8,1248,,,,,,,,0.0227784,,
0,1064,,,,,,,,,0.548369,
0,1113,,,,,,,,,,0.0
