,Memory usage,RangeBF,Rosetta,Empty Ranges,Sorted array,CHaREQ,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,167,0.670024,,,,,,,,,
1,292,0.49718,,,,,,,,,
2,417,0.441579,,,,,,,,,
3,542,0.439565,,,,,,,,,
4,667,0.439565,,,,,,,,,
5,792,0.439565,,,,,,,,,
6,917,0.439565,,,,,,,,,
7,1042,0.439565,,,,,,,,,
8,1167,0.439565,,,,,,,,,
9,1292,0.439565,,,,,,,,,
0,277,,0.533441,,,,,,,,
1,527,,0.107575,,,,,,,,
2,778,,0.00604351,,,,,,,,
3,1026,,0.00886382,,,,,,,,
4,1277,,0.0,,,,,,,,
0,712,,,0.00805802,,,,,,,
1,424,,,0.0576148,,,,,,,
2,368,,,0.0858179,,,,,,,
3,288,,,0.146253,,,,,,,
4,248,,,0.188558,,,,,,,
0,800,,,,0.0,,,,,,
0,424,,,,,0.534649,,,,,
1,409,,,,,0.557212,,,,,
2,389,,,,,0.538678,,,,,
3,377,,,,,0.535858,,,,,
4,363,,,,,0.526994,,,,,
5,353,,,,,0.557212,,,,,
6,346,,,,,0.56245,,,,,
7,341,,,,,0.576148,,,,,
0,1174,,,,,,0.0,,,,
1,1174,,,,,,0.0,,,,
2,1174,,,,,,0.0,,,,
3,1125,,,,,,0.479049,,,,
4,1125,,,,,,0.479049,,,,
5,1125,,,,,,0.479049,,,,
6,1125,,,,,,0.479049,,,,
7,1125,,,,,,0.479049,,,,
8,1125,,,,,,0.479049,,,,
9,1125,,,,,,0.479049,,,,
10,1125,,,,,,0.479049,,,,
0,1125,,,,,,,0.479049,,,
1,1125,,,,,,,0.479049,,,
2,1174,,,,,,,0.0,,,
3,1174,,,,,,,0.0,,,
4,1174,,,,,,,0.0,,,
5,1174,,,,,,,0.0,,,
6,1174,,,,,,,0.0,,,
7,1174,,,,,,,0.0,,,
8,1174,,,,,,,0.0,,,
9,1174,,,,,,,0.0,,,
10,1174,,,,,,,0.0,,,
11,1174,,,,,,,0.0,,,
12,1174,,,,,,,0.0,,,
13,1174,,,,,,,0.0,,,
14,1174,,,,,,,0.0,,,
0,1077,,,,,,,,0.479049,,
1,1101,,,,,,,,0.479049,,
2,1125,,,,,,,,0.479049,,
3,1149,,,,,,,,0.479049,,
4,1173,,,,,,,,0.479049,,
5,1197,,,,,,,,0.346898,,
6,1221,,,,,,,,0.175262,,
7,1237,,,,,,,,0.0785657,,
8,1261,,,,,,,,0.0,,
0,1077,,,,,,,,,0.479049,
0,1142,,,,,,,,,,0.0
