,Memory usage,RangeBF,Rosetta,Empty Ranges,Sorted array,CHaREQ,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,167,0.323385,,,,,,,,,
1,292,0.313911,,,,,,,,,
2,417,0.313911,,,,,,,,,
3,542,0.313911,,,,,,,,,
4,667,0.313911,,,,,,,,,
5,792,0.313911,,,,,,,,,
6,917,0.313911,,,,,,,,,
7,1042,0.313911,,,,,,,,,
8,1167,0.313911,,,,,,,,,
9,1292,0.313911,,,,,,,,,
0,275,,0.0956892,,,,,,,,
1,525,,0.0,,,,,,,,
2,776,,0.0,,,,,,,,
3,1026,,0.0,,,,,,,,
4,1274,,0.0,,,,,,,,
0,176,,,0.20559,,,,,,,
1,144,,,0.296542,,,,,,,
2,104,,,0.442918,,,,,,,
3,64,,,0.627665,,,,,,,
4,40,,,0.761251,,,,,,,
0,200,,,,0.0,,,,,,
0,204,,,,,0.565135,,,,,
1,197,,,,,0.56924,,,,,
2,191,,,,,0.562451,,,,,
3,187,,,,,0.565451,,,,,
4,184,,,,,0.55645,,,,,
5,179,,,,,0.559293,,,,,
6,176,,,,,0.56103,,,,,
7,173,,,,,0.574767,,,,,
0,943,,,,,,0.0,,,,
1,943,,,,,,0.0,,,,
2,943,,,,,,0.0,,,,
3,893,,,,,,0.361914,,,,
4,893,,,,,,0.361914,,,,
5,893,,,,,,0.361914,,,,
6,893,,,,,,0.361914,,,,
7,893,,,,,,0.361914,,,,
8,893,,,,,,0.361914,,,,
9,893,,,,,,0.361914,,,,
10,893,,,,,,0.361914,,,,
0,893,,,,,,,0.361914,,,
1,893,,,,,,,0.361914,,,
2,943,,,,,,,0.0,,,
3,943,,,,,,,0.0,,,
4,943,,,,,,,0.0,,,
5,943,,,,,,,0.0,,,
6,943,,,,,,,0.0,,,
7,943,,,,,,,0.0,,,
8,943,,,,,,,0.0,,,
9,943,,,,,,,0.0,,,
10,943,,,,,,,0.0,,,
11,943,,,,,,,0.0,,,
12,943,,,,,,,0.0,,,
13,943,,,,,,,0.0,,,
14,943,,,,,,,0.0,,,
0,845,,,,,,,,0.361914,,
1,853,,,,,,,,0.361914,,
2,861,,,,,,,,0.361914,,
3,869,,,,,,,,0.361914,,
4,877,,,,,,,,0.361914,,
5,877,,,,,,,,0.256119,,
6,885,,,,,,,,0.123796,,
7,893,,,,,,,,0.0464235,,
8,901,,,,,,,,0.0,,
0,845,,,,,,,,,0.361914,
0,911,,,,,,,,,,0.0
