,Memory usage,RangeBF,Rosetta,Empty Ranges,Sorted array,CHaREQ,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,SuRF Base,FST
0,167,0.84167,,,,,,,,,
1,292,0.524553,,,,,,,,,
2,417,0.483249,,,,,,,,,
3,542,0.386416,,,,,,,,,
4,667,0.391005,,,,,,,,,
5,792,0.366682,,,,,,,,,
6,917,0.377237,,,,,,,,,
7,1042,0.362552,,,,,,,,,
8,1167,0.362552,,,,,,,,,
9,1292,0.362552,,,,,,,,,
0,273,,0.749885,,,,,,,,
1,523,,0.388251,,,,,,,,
2,774,,0.12804,,,,,,,,
3,1023,,0.0165213,,,,,,,,
4,1274,,0.0197338,,,,,,,,
0,824,,,0.0,,,,,,,
1,824,,,0.0,,,,,,,
2,480,,,0.0,,,,,,,
3,480,,,0.0,,,,,,,
4,336,,,0.00826067,,,,,,,
0,2000,,,,0.0,,,,,,
0,630,,,,,0.537861,,,,,
1,599,,,,,0.520422,,,,,
2,563,,,,,0.548876,,,,,
3,548,,,,,0.543827,,,,,
4,528,,,,,0.531436,,,,,
5,516,,,,,0.536026,,,,,
6,500,,,,,0.553924,,,,,
7,490,,,,,0.516751,,,,,
0,1368,,,,,,0.0,,,,
1,1368,,,,,,0.0,,,,
2,1368,,,,,,0.0,,,,
3,1352,,,,,,0.439651,,,,
4,1352,,,,,,0.439651,,,,
5,1352,,,,,,0.439651,,,,
6,1352,,,,,,0.439651,,,,
7,1352,,,,,,0.439651,,,,
8,1352,,,,,,0.439651,,,,
9,1352,,,,,,0.439651,,,,
10,1352,,,,,,0.439651,,,,
0,1352,,,,,,,0.439651,,,
1,1352,,,,,,,0.439651,,,
2,1368,,,,,,,0.0,,,
3,1368,,,,,,,0.0,,,
4,1368,,,,,,,0.0,,,
5,1368,,,,,,,0.0,,,
6,1368,,,,,,,0.0,,,
7,1368,,,,,,,0.0,,,
8,1368,,,,,,,0.0,,,
9,1368,,,,,,,0.0,,,
10,1368,,,,,,,0.0,,,
11,1368,,,,,,,0.0,,,
12,1368,,,,,,,0.0,,,
13,1368,,,,,,,0.0,,,
14,1368,,,,,,,0.0,,,
0,1304,,,,,,,,0.439651,,
1,1352,,,,,,,,0.439651,,
2,1392,,,,,,,,0.439651,,
3,1440,,,,,,,,0.439651,,
4,1480,,,,,,,,0.439651,,
5,1528,,,,,,,,0.218908,,
6,1568,,,,,,,,0.114732,,
7,1608,,,,,,,,0.0541533,,
8,1656,,,,,,,,0.0,,
0,1304,,,,,,,,,0.439651,
0,1336,,,,,,,,,,0.0
