,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.651165,0.651165,,,
1,250002,0.408094,0.408094,,,
2,375002,0.255923,0.255923,,,
3,500002,0.163076,0.163076,,,
4,625002,0.103462,0.103462,,,
5,750002,0.0652176,0.0652176,,,
6,875002,0.0419118,0.0419118,,,
7,1000002,0.0266936,0.0266936,,,
8,1125002,0.0164012,0.0164012,,,
9,1250002,0.0110022,0.0110022,,,
10,1375002,0.00692615,0.00692615,,,
11,1500002,0.00464611,0.00464611,,,
12,1625002,0.00290382,0.00290382,,,
13,1750002,0.00165625,0.00165625,,,
14,1875002,0.000935675,0.000935675,,,
15,2000002,0.000602274,0.000602274,,,
16,2125002,0.000494725,0.000494725,,,
17,2250002,0.000204343,0.000204343,,,
18,2375002,0.000215098,0.000215098,,,
19,2500002,0.000118304,0.000118304,,,
20,2625002,5.37744e-05,5.37744e-05,,,
21,2750002,2.15098e-05,2.15098e-05,,,
22,2875002,2.15098e-05,2.15098e-05,,,
23,3000002,3.22647e-05,3.22647e-05,,,
24,3125002,1.07549e-05,1.07549e-05,,,
25,1048576,,,0.220099,0.220099,
26,1310720,,,0.117486,0.117486,
27,1572864,,,0.0609049,0.0609049,
28,1835008,,,0.0310386,0.0310386,
29,2097152,,,0.0157559,0.0157559,
30,2359296,,,0.00806616,0.00806616,
31,2621440,,,0.00393629,0.00393629,
32,2883584,,,0.0018821,0.0018821,
33,3145728,,,0.00110775,0.00110775,
34,3407872,,,0.000548499,0.000548499,
35,3670016,,,0.000279627,0.000279627,
36,3932160,,,0.000118304,0.000118304,
37,164181,,,,,0.966821
38,176685,,,,,0.966821
39,189181,,,,,0.96054
40,201685,,,,,0.96054
41,214181,,,,,0.932696
42,250648,,,,,0.919736
43,263152,,,,,0.912649
44,275648,,,,,0.909197
45,288152,,,,,0.907185
