,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,Layered CHaREQ h=13 b=3,SuRF Base,FST
0,12534,0.999739,,,,,,,,,
1,25034,0.999739,,,,,,,,,
2,37534,0.999477,,,,,,,,,
3,50034,0.999216,,,,,,,,,
4,62534,0.996341,,,,,,,,,
5,75034,0.997386,,,,,,,,,
6,87534,0.995818,,,,,,,,,
7,100034,0.995034,,,,,,,,,
0,55651,,0.738369,,,,,,,,
1,83414,,0.0904339,,,,,,,,
2,111179,,0.0107162,,,,,,,,
3,138945,,0.00156822,,,,,,,,
4,166705,,0.000784109,,,,,,,,
5,194470,,0.0,,,,,,,,
0,127820,,,0.0,,,,,,,
1,114604,,,0.17172,,,,,,,
2,84593,,,0.470465,,,,,,,
3,71478,,,0.600627,,,,,,,
4,46238,,,0.806848,,,,,,,
5,28315,,,0.917669,,,,,,,
6,24661,,,0.932828,,,,,,,
7,22991,,,0.939101,,,,,,,
8,22905,,,0.939362,,,,,,,
9,22818,,,0.939362,,,,,,,
10,22818,,,0.939362,,,,,,,
0,22818,,,,0.939362,,,,,,
1,22818,,,,0.939362,,,,,,
2,22826,,,,0.939362,,,,,,
3,22854,,,,0.938578,,,,,,
4,23029,,,,0.936487,,,,,,
5,23653,,,,0.928646,,,,,,
6,27087,,,,0.896498,,,,,,
7,37465,,,,0.785938,,,,,,
8,59736,,,,0.569524,,,,,,
9,92314,,,,0.288029,,,,,,
10,113151,,,,0.109514,,,,,,
11,123335,,,,0.0292734,,,,,,
12,125940,,,,0.0086252,,,,,,
13,126804,,,,0.00104548,,,,,,
14,127652,,,,0.00026137,,,,,,
0,22782,,,,,0.939362,,,,,
0,93265,,,,,,0.912964,,,,
1,87016,,,,,,0.918191,,,,
2,83266,,,,,,0.91976,,,,
3,80765,,,,,,0.921328,,,,
4,78980,,,,,,0.924203,,,,
5,77640,,,,,,0.926032,,,,
0,84077,,,,,,,0.951908,,,
1,77828,,,,,,,0.95609,,,
2,74078,,,,,,,0.958181,,,
3,71577,,,,,,,0.959226,,,
4,69792,,,,,,,0.96184,,,
5,68452,,,,,,,0.962886,,,
0,74890,,,,,,,,0.960533,,
1,68641,,,,,,,,0.964454,,
2,64891,,,,,,,,0.966806,,
3,62390,,,,,,,,0.967329,,
4,60605,,,,,,,,0.970204,,
5,59265,,,,,,,,0.970465,,
0,22782,,,,,0.939362,,,,,
1,24046,,,,,0.939362,,,,,
2,25294,,,,,0.939362,,,,,
3,26542,,,,,0.937794,,,,,
4,27790,,,,,0.937794,,,,,
5,29038,,,,,0.920282,,,,,
6,30294,,,,,0.899634,,,,,
7,31542,,,,,0.884213,,,,,
8,32790,,,,,0.874804,,,,,
0,22782,,,,,,,,,0.939362,
0,127788,,,,,,,,,,0.0
