memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
12502	0.9985	0.999999			
75002	0.665323	0.901559			
137502	0.447859	0.717627			
200002	0.337037	0.580781			
262502	0.27081	0.484373			
325002	0.221104	0.414326			
387502	0.120633	0.350908			
450002	0.0924302	0.28973			
512502	0.0742582	0.24269			
575002	0.0610567	0.205936			
637502	0.0324736	0.174476			
700002	0.0259729	0.144989			
762502	0.0219424	0.121619			
825002	0.0164618	0.102906			
887502	0.00942104	0.0871054			
950002	0.00714079	0.072611			
1012502	0.00569063	0.0609489			
1075002	0.00472052	0.0514959			
1137502	0.00247027	0.0435553			
1200002	0.0018302	0.0363746			
1262502	0.00153017	0.030545			
1325002	0.00140015	0.0257846			
1387502	0.00082009	0.0217959			
1450002	0.000540059	0.0182246			
1512502	0.000510056	0.0153079			
1575002	0.000410045	0.0129145			
1637502	0.000170019	0.0109118			
1700002	0.000150017	0.00913174			
1762502	0.000170019	0.00767179			
1825002	0.000110012	0.00646953			
1887502	6.00066e-05	0.00546433			
1950002	5.00055e-05	0.00457585			
2012502	4.00044e-05	0.00384483			
2075002	5.00055e-05	0.00324126			
2137502	2.00022e-05	0.00273687			
2200002	0	0.00229301			
2262502	1.00011e-05	0.0019269			
2325002	1.00011e-05	0.001624			
2387502	0	0.00137097			
2450002	3.00033e-05	0.00114908			
1048576			0.143436	0.144575	
1310720			0.0733481	0.0751079	
1572864			0.0378142	0.0382869	
1835008			0.0188321	0.0193303	
2097152			0.00927102	0.0097123	
2359296			0.00476052	0.004868	
2621440			0.00244027	0.00243697	
2883584			0.00124014	0.00121923	
211729					0.162738
224233					0.162738
274389					0.162718
286885					0.162718
299389					0.0827691
311885					0.0449349
324389					0.0237626
336885					0.0121413
349389					0.0063207
