memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Base	SuRF Real
130	1	1				
1410	0.950416	0.998814				
2690	0.798371	0.970665				
3970	0.656729	0.908425				
5250	0.563054	0.83594				
6530	0.482403	0.766157				
7810	0.423783	0.703258				
9090	0.379915	0.647879				
10370	0.341625	0.599451				
11650	0.307351	0.557085				
12930	0.28426	0.519893				
14210	0.259607	0.487084				
15490	0.23805	0.457987				
16770	0.226309	0.432045				
18050	0.207429	0.408794				
19330	0.1987	0.387854				
20610	0.115539	0.362068				
21890	0.10589	0.336042				
23170	0.0954041	0.312563				
24450	0.0864521	0.291339				
25730	0.0821295	0.272111				
27010	0.073317	0.254651				
28290	0.0683529	0.23876				
29570	0.064867	0.224266				
30850	0.0582297	0.211014				
32130	0.0557477	0.198874				
33410	0.0500307	0.187727				
34690	0.0297563	0.175371				
35970	0.0282782	0.163395				
37250	0.0241787	0.152447				
38530	0.0229795	0.142423				
39810	0.0203023	0.133233				
41090	0.0194099	0.124796				
42370	0.0174299	0.117037				
43650	0.0159797	0.109893				
44930	0.014418	0.103306				
46210	0.0145016	0.097224				
47490	0.0129399	0.0916007				
48770	0.00780858	0.0854692				
50050	0.00699983	0.0797802				
51330	0.00630264	0.0745446				
52610	0.00610742	0.0697211				
53890	0.00577277	0.0652726				
55170	0.00529868	0.0611657				
56450	0.00423894	0.0573701				
57730	0.00460148	0.0538586				
59010	0.00437838	0.0506069				
60290	0.0036533	0.0475925				
61570	0.00306766	0.0447956				
62850	0.00195214	0.0417538				
64130	0.00192426	0.0390168				
65410	0.00139439	0.036488				
66690	0.00133861	0.0341494				
67970	0.00100396	0.0319851				
69250	0.00142228	0.0299804				
70530	0.00131073	0.0281221				
71810	0.00119917	0.026398				
73090	0.000948185	0.0247972				
74370	0.00108762	0.0233098				
75650	0.000557756	0.0218529				
76930	0.000306766	0.0204215				
78210	0.000223102	0.0190964				
79490	0.000557756	0.0178688				
80770	0.000557756	0.0167309				
82050	0.00025099	0.0156752				
83330	0.000362541	0.0146953				
84610	0.00025099	0.0137851				
85890	0.000195214	0.012939				
87170	0.000362541	0.0121521				
88450	0.000139439	0.0114198				
89730	0.000111551	0.0106887				
91010	0.000111551	0.00999455				
92290	0.000139439	0.0093507				
93570	8.36633e-05	0.00875314				
94850	5.57756e-05	0.00819821				
96130	0.000167327	0.00768259				
97410	5.57756e-05	0.00720321				
49152			0.0623292	0.0631225		
57344			0.0314295	0.0320757		
65536			0.0149757	0.0161685		
73728			0.00769703	0.00811722		
81920			0.00412739	0.00406688		
90112			0.0022868	0.00203551		
98304			0.00139439	0.00101827		
106496			0.000613531	0.000509266		
114688			0.000278878	0.000254666		
122880			0.000139439	0.000127341		
25252					0.430253
26508						0.430253
27756						0.339729
29012						0.228066
30260						0.228066
31516						0.228066
32764						0.228066
34004						0.228066
35260						0.228066
