memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
12502	0.99798	0.999999			
75002	0.656037	0.896851			
137502	0.443194	0.71034			
200002	0.332073	0.573373			
262502	0.263853	0.477445			
325002	0.220072	0.407978			
387502	0.115451	0.34215			
450002	0.0901909	0.281982			
512502	0.0720107	0.235857			
575002	0.0579006	0.199903			
637502	0.0303803	0.167695			
700002	0.0242202	0.139124			
762502	0.0197002	0.116534			
825002	0.0159802	0.0984825			
887502	0.00801008	0.0825358			
950002	0.00684007	0.068694			
1012502	0.00518005	0.0575803			
1075002	0.00421004	0.0485885			
1137502	0.00222002	0.0406884			
1200002	0.00186002	0.0339286			
1262502	0.00153002	0.0284514			
1325002	0.00114001	0.0239866			
1387502	0.000650007	0.0200745			
1450002	0.000470005	0.0167602			
1512502	0.000520005	0.0140584			
1575002	0.000350004	0.0118451			
1637502	0.000120001	0.00990858			
1700002	0.000180002	0.00827998			
1762502	0.000130001	0.0069466			
1825002	0.000100001	0.00585037			
1887502	8.00008e-05	0.00489215			
1950002	2.00002e-05	0.00409074			
2012502	3.00003e-05	0.00343249			
2075002	2.00002e-05	0.00288986			
2137502	3.00003e-05	0.00241584			
2200002	0	0.00202111			
2262502	0	0.00169608			
2325002	0	0.00142759			
2387502	2.00002e-05	0.00119314			
2450002	0	0.000998594			
1048576			0.142471	0.141911	
1310720			0.0736707	0.0736689	
1572864			0.0381204	0.037539	
1835008			0.0197702	0.0189491	
2097152			0.0104801	0.00951984	
2359296			0.00506005	0.0047713	
2621440			0.00250003	0.0023885	
2883584			0.00117001	0.00119497	
220677					0.0510805
233181					0.0510805
245685					0.0510805
258181					0.0510805
270685					0.0289403
283189					0.0140701
295685					0.00605006
308189					0.00362004
320685					0.00188002
