memoryUsage	FPR Prefix-BF	PF Prob BF	FPR Prefix-QF	FP Prob QF	SuRF Real
12502	0.999946	0.999999			
75002	0.826367	0.894335			
137502	0.617721	0.706507			
200002	0.481564	0.5695			
262502	0.394645	0.473834			
325002	0.334384	0.404677			
387502	0.245314	0.337614			
450002	0.195097	0.277979			
512502	0.162643	0.232334			
575002	0.135222	0.196797			
637502	0.0968547	0.164223			
700002	0.0807355	0.136128			
762502	0.0670359	0.11394			
825002	0.0552395	0.0962293			
887502	0.0404108	0.0802228			
950002	0.0331416	0.0667146			
1012502	0.0284101	0.0558805			
1075002	0.0226464	0.0471234			
1137502	0.0169041	0.0392532			
1200002	0.0132695	0.0327061			
1262502	0.011377	0.0274064			
1325002	0.00919404	0.0230903			
1387502	0.0072477	0.0192221			
1450002	0.0055917	0.0160362			
1512502	0.00449487	0.0134415			
1575002	0.00354858	0.0113177			
1637502	0.00258078	0.00941727			
1700002	0.00233346	0.00786343			
1762502	0.00205387	0.00659241			
1825002	0.00145169	0.00554323			
1887502	0.00119361	0.00461499			
1950002	0.00111834	0.00385608			
2012502	0.000698962	0.00323327			
2075002	0.000655949	0.00271447			
2137502	0.000655949	0.00226202			
2200002	0.000397871	0.00189102			
2262502	0.000397871	0.00158578			
2325002	0.000236572	0.00132967			
2387502	0.000247325	0.00110887			
2450002	0.000193559	0.000927374			
1048576			0.222076	0.222572	
1310720			0.117522	0.118281	
1572864			0.0600355	0.0610011	
1835008			0.0301844	0.0309805	
2097152			0.0154417	0.0156121	
2359296			0.00798968	0.00783676	
2621440			0.00392494	0.00392609	
2883584			0.00210764	0.00196497	
164261					0.967181
176765					0.967181
189261					0.960331
201765					0.960331
214261					0.933599
250750					0.921125
263246					0.913834
275750					0.91006
288246					0.908113
