,Memory usage,FPR Prefix-BF,FP Prob BF,FPR Prefix-QF,FP Prob QF,FPR SuRFReal
0,125002,0.655651,0.740368,,,
1,250002,0.410604,0.490459,,,
2,375002,0.257014,0.351674,,,
3,500002,0.168418,0.24055,,,
4,625002,0.103934,0.170713,,,
5,750002,0.069256,0.11798,,,
6,875002,0.0412615,0.0833111,,,
7,1000002,0.028825,0.0578644,,,
8,1125002,0.0174891,0.0407409,,,
9,1250002,0.011506,0.0283802,,,
10,1375002,0.00707368,0.0199432,,,
11,1500002,0.00516268,0.0139193,,,
12,1625002,0.0032717,0.00976793,,,
13,1750002,0.00188098,0.00682685,,,
14,1875002,0.00136071,0.00478589,,,
15,2000002,0.000760395,0.00334829,,,
16,2125002,0.000400208,0.00234543,,,
17,2250002,0.00048025,0.0016422,,,
18,2375002,0.00023012,0.00114961,,,
19,2500002,7.00364e-05,0.000805433,,,
20,2625002,6.00312e-05,0.00056355,,,
21,2750002,9.00468e-05,0.000395032,,,
22,2875002,1.00052e-05,0.00027628,,,
23,3000002,0.0,0.000193747,,,
24,3125002,0.0,0.000135456,,,
25,1310720,,,0.118972,0.118281,
26,1572864,,,0.0605815,0.0610011,
27,1835008,,,0.0309561,0.0309805,
28,2097152,,,0.015388,0.0156121,
29,2359296,,,0.00744387,0.00783676,
30,2621440,,,0.00367191,0.00392609,
31,2883584,,,0.001931,0.00196497,
32,3145728,,,0.000970505,0.00098297,
33,3407872,,,0.000530276,0.000491606,
34,3670016,,,0.00027014,0.000245833,
35,3932160,,,0.000130068,0.000122924,
36,164261,,,,,0.194941
37,176765,,,,,0.194941
38,189261,,,,,0.194641
39,201765,,,,,0.194641
40,214261,,,,,0.0988914
41,250750,,,,,0.0528375
42,263246,,,,,0.0278545
43,275750,,,,,0.0138372
44,288246,,,,,0.0071137
