,Memory usage,FPR Prefix-BF,FP Prob BF,FPR Prefix-QF,FP Prob QF,FPR SuRFReal
0,125002,0.651536,0.740368,,,
1,250002,0.410356,0.490459,,,
2,375002,0.25696,0.351674,,,
3,500002,0.167517,0.24055,,,
4,625002,0.104894,0.170713,,,
5,750002,0.0693128,0.11798,,,
6,875002,0.0423817,0.0833111,,,
7,1000002,0.0280011,0.0578644,,,
8,1125002,0.0163607,0.0407409,,,
9,1250002,0.0116205,0.0283802,,,
10,1375002,0.00698028,0.0199432,,,
11,1500002,0.00472019,0.0139193,,,
12,1625002,0.00283011,0.00976793,,,
13,1750002,0.00181007,0.00682685,,,
14,1875002,0.00136005,0.00478589,,,
15,2000002,0.00075003,0.00334829,,,
16,2125002,0.000560022,0.00234543,,,
17,2250002,0.00025001,0.0016422,,,
18,2375002,0.000180007,0.00114961,,,
19,2500002,0.000130005,0.000805433,,,
20,2625002,9.00036e-05,0.00056355,,,
21,2750002,5.0002e-05,0.000395032,,,
22,2875002,6.00024e-05,0.00027628,,,
23,3000002,2.00008e-05,0.000193747,,,
24,3125002,1.00004e-05,0.000135456,,,
25,1310720,,,0.119115,0.118281,
26,1572864,,,0.0612725,0.0610011,
27,1835008,,,0.0308512,0.0309805,
28,2097152,,,0.0158006,0.0156121,
29,2359296,,,0.00796032,0.00783676,
30,2621440,,,0.00398016,0.00392609,
31,2883584,,,0.00200008,0.00196497,
32,3145728,,,0.00106004,0.00098297,
33,3407872,,,0.000620025,0.000491606,
34,3670016,,,0.000310012,0.000245833,
35,3932160,,,0.000190008,0.000122924,
36,164261,,,,,0.194828
37,176765,,,,,0.194828
38,189261,,,,,0.194768
39,201765,,,,,0.194768
40,214261,,,,,0.100414
41,250750,,,,,0.0538422
42,263246,,,,,0.0281211
43,275750,,,,,0.0144706
44,288246,,,,,0.00775031
