,Memory usage,FPR Prefix-BF,FP Prob BF,FPR Prefix-QF,FP Prob QF,FPR SuRFReal
0,125002,0.651745,0.740368,,,
1,250002,0.408925,0.490459,,,
2,375002,0.257057,0.351674,,,
3,500002,0.166041,0.24055,,,
4,625002,0.105027,0.170713,,,
5,750002,0.0685306,0.11798,,,
6,875002,0.0422926,0.0833111,,,
7,1000002,0.0281628,0.0578644,,,
8,1125002,0.0172697,0.0407409,,,
9,1250002,0.011678,0.0283802,,,
10,1375002,0.00734448,0.0199432,,,
11,1500002,0.00464541,0.0139193,,,
12,1625002,0.00266681,0.00976793,,,
13,1750002,0.00202161,0.00682685,,,
14,1875002,0.00117211,0.00478589,,,
15,2000002,0.000860261,0.00334829,,,
16,2125002,0.000430131,0.00234543,,,
17,2250002,0.000333351,0.0016422,,,
18,2375002,0.000182806,0.00114961,,,
19,2500002,0.000118286,0.000805433,,,
20,2625002,4.30131e-05,0.00056355,,,
21,2750002,5.37663e-05,0.000395032,,,
22,2875002,4.30131e-05,0.00027628,,,
23,3000002,3.22598e-05,0.000193747,,,
24,3125002,0.0,0.000135456,,,
25,1310720,,,0.117522,0.118281,
26,1572864,,,0.0600355,0.0610011,
27,1835008,,,0.0301844,0.0309805,
28,2097152,,,0.0154417,0.0156121,
29,2359296,,,0.00798968,0.00783676,
30,2621440,,,0.00392494,0.00392609,
31,2883584,,,0.00210764,0.00196497,
32,3145728,,,0.00109683,0.00098297,
33,3407872,,,0.000537663,0.000491606,
34,3670016,,,0.000247325,0.000245833,
35,3932160,,,0.000129039,0.000122924,
36,164261,,,,,0.967181
37,176765,,,,,0.967181
38,189261,,,,,0.960331
39,201765,,,,,0.960331
40,214261,,,,,0.933599
41,250750,,,,,0.921125
42,263246,,,,,0.913834
43,275750,,,,,0.91006
44,288246,,,,,0.908113
