,Memory usage,FPR Prefix-BF,FP Prob BF,FPR Prefix-QF,FP Prob QF,FPR SuRFReal
0,125002,0.478671,0.751169,,,
1,250002,0.277317,0.50117,,,
2,375002,0.195704,0.371023,,,
3,500002,0.0769904,0.251171,,,
4,625002,0.0521714,0.182095,,,
5,750002,0.0211417,0.12588,,,
6,875002,0.0136236,0.0905568,,,
7,1000002,0.00614056,0.0630871,,,
8,1125002,0.00406257,0.0452019,,,
9,1250002,0.00164604,0.0316174,,,
10,1375002,0.00110904,0.0225979,,,
11,1500002,0.00043194,0.0158457,,,
12,1625002,0.000280177,0.0113065,,,
13,1750002,0.000140089,0.00794137,,,
14,1875002,0.000140089,0.00565969,,,
15,2000002,9.33925e-05,0.00397998,,,
16,2125002,2.33481e-05,0.00283389,,,
17,2250002,4.66962e-05,0.00199465,,,
18,2375002,2.33481e-05,0.00141926,,,
19,2500002,0.0,0.000999657,,,
20,2625002,2.33481e-05,0.000710883,,,
21,2750002,0.0,0.000500998,,,
22,2875002,0.0,0.000356107,,,
23,3000002,0.0,0.000251085,,,
24,3125002,0.0,0.0001784,,,
25,1310720,,,0.0749008,0.0751079,
26,1572864,,,0.037322,0.0382869,
27,1835008,,,0.0186435,0.0193303,
28,2097152,,,0.00902405,0.0097123,
29,2359296,,,0.00444782,0.004868,
30,2621440,,,0.0021597,0.00243697,
31,2883584,,,0.00119075,0.00121923,
32,3145728,,,0.000501985,0.0006098,
33,3407872,,,0.000198459,0.000304946,
34,3670016,,,9.33925e-05,0.000152485,
35,3932160,,,3.50222e-05,7.62453e-05,
36,211729,,,,,0.737287
37,224233,,,,,0.737287
38,274389,,,,,0.711499
39,286885,,,,,0.711499
40,299389,,,,,0.656899
41,311885,,,,,0.631228
42,324389,,,,,0.617931
43,336885,,,,,0.610215
44,349389,,,,,0.60586
