,Memory usage,Splash y=0.8,Bloomed Splash height=7,Bloom Filter z=0.5,SuRF Real,FST
0,1413579,1.00004e-05,,,,
1,1283278,1.00004e-05,,,,
2,1082221,6.00024e-05,,,,
3,905113,0.000380015,,,,
4,700765,0.00136005,,,,
5,492415,0.00807032,,,,
6,328255,0.0347814,,,,
7,182418,0.155206,,,,
8,164210,0.196358,,,,
9,164210,0.196358,,,,
10,164210,0.196358,,,,
0,577410,,1.00004e-05,,,
1,597529,,1.00004e-05,,,
2,617649,,1.00004e-05,,,
3,637767,,1.00004e-05,,,
4,657885,,0.0,,,
5,678004,,0.0,,,
6,698123,,0.0,,,
7,718241,,1.00004e-05,,,
8,738359,,0.0,,,
9,758478,,0.0,,,
0,50232,,,0.796692,,
1,100390,,,0.345144,,
2,150550,,,0.151636,,
3,200708,,,0.0717429,,
4,250868,,,0.0390316,,
5,301026,,,0.0224509,,
6,351183,,,0.0111604,,
7,401340,,,0.00587023,,
8,451499,,,0.00325013,,
9,501659,,,0.00168007,,
0,164181,,,,0.196398,
0,1413548,,,,,0.0
