,Memory usage,Splash y=0.8,Bloomed Splash height=7,Bloom Filter z=0.5,SuRF Real,FST
0,900655,0.0192583,,,,
1,781253,0.0497954,,,,
2,609329,0.101416,,,,
3,481062,0.158933,,,,
4,366231,0.228254,,,,
5,287400,0.295442,,,,
6,212131,0.336949,,,,
7,197401,0.359681,,,,
8,194250,0.367362,,,,
9,194226,0.367599,,,,
10,194226,0.367599,,,,
0,176544,,0.54346,,,
1,205024,,0.410343,,,
2,233501,,0.29371,,,
3,261977,,0.211873,,,
4,290461,,0.157242,,,
5,318931,,0.120808,,,
6,347407,,0.0945184,,,
7,375884,,0.0758477,,,
8,404360,,0.063569,,,
9,432841,,0.0522903,,,
0,51462,,,0.491871,,
1,102826,,,0.163531,,
2,154196,,,0.0807345,,
3,205557,,,0.0449705,,
4,256927,,,0.027073,,
5,308290,,,0.0184129,,
6,359657,,,0.0129179,,
7,411026,,,0.00904152,,
8,462394,,,0.00701053,,
9,513761,,,0.00497954,,
0,211393,,,,0.363094,
0,904509,,,,,0.0
