,Memory usage,Splash y=0.8,Bloomed Splash height=7,Bloom Filter z=0.5,SuRF Real,FST
0,900655,0.0,,,,
1,781253,0.0,,,,
2,609329,0.0,,,,
3,481062,3.00021e-05,,,,
4,366231,0.000120008,,,,
5,287400,0.00120008,,,,
6,212131,0.00625044,,,,
7,197401,0.0393328,,,,
8,194250,0.13799,,,,
9,194226,0.159491,,,,
10,194226,0.159491,,,,
0,176544,,0.0,,,
1,205024,,0.0,,,
2,233501,,0.0,,,
3,261977,,0.0,,,
4,290461,,0.0,,,
5,318931,,0.0,,,
6,347407,,0.0,,,
7,375884,,0.0,,,
8,404360,,0.0,,,
9,432841,,0.0,,,
0,51462,,,0.348254,,
1,102826,,,0.0749952,,
2,154196,,,0.0245817,,
3,205557,,,0.00676047,,
4,256927,,,0.00206014,,
5,308290,,,0.000700049,,
6,359657,,,0.000330023,,
7,411026,,,0.000210015,,
8,462394,,,4.00028e-05,,
9,513761,,,4.00028e-05,,
0,211393,,,,0.158661,
0,904509,,,,,0.0
