,Memory usage,Splash y=0.8,Bloomed Splash height=7,Bloom Filter z=0.5,SuRF Real,FST
0,868334,0.0,,,,
1,741748,0.0,,,,
2,530507,0.0,,,,
3,388391,0.0,,,,
4,276454,1.00002e-05,,,,
5,225567,4.00008e-05,,,,
6,215290,0.000270005,,,,
7,213610,0.00149003,,,,
8,213418,0.00542011,,,,
9,213082,0.0124902,,,,
10,213082,0.0124902,,,,
0,92350,,0.0,,,
1,112139,,0.0,,,
2,131935,,0.0,,,
3,151724,,0.0,,,
4,171518,,0.0,,,
5,191309,,0.0,,,
6,211100,,0.0,,,
7,230894,,0.0,,,
8,250682,,0.0,,,
9,270476,,0.0,,,
0,46961,,,0.344607,,
1,93848,,,0.0719314,,
2,140730,,,0.0218804,,
3,187617,,,0.00607012,,
4,234502,,,0.00143003,,
5,281388,,,0.000360007,,
6,328274,,,0.000150003,,
7,375157,,,1.00002e-05,,
8,422041,,,0.0,,
9,468928,,,2.00004e-05,,
0,221111,,,,0.0124702,
0,869532,,,,,0.0
