,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,Layered CHaREQ h=13 b=3,SuRF Base,FST
0,12534,0.999065,,,,,,,,,
1,25034,0.990839,,,,,,,,,
2,37534,0.96261,,,,,,,,,
3,50034,0.917742,,,,,,,,,
4,62534,0.871191,,,,,,,,,
5,75034,0.825949,,,,,,,,,
6,87534,0.791176,,,,,,,,,
7,100034,0.76089,,,,,,,,,
0,54564,,0.862217,,,,,,,,
1,81771,,0.560479,,,,,,,,
2,108986,,0.186203,,,,,,,,
3,136193,,0.0108431,,,,,,,,
4,163409,,0.00224341,,,,,,,,
5,190623,,0.0011217,,,,,,,,
0,160540,,,0.0,,,,,,,
1,147324,,,0.152365,,,,,,,
2,120924,,,0.421948,,,,,,,
3,107724,,,0.535801,,,,,,,
4,75772,,,0.732286,,,,,,,
5,49362,,,0.878669,,,,,,,
6,36326,,,0.933072,,,,,,,
7,19603,,,0.988596,,,,,,,
8,19603,,,0.988596,,,,,,,
9,19603,,,0.988596,,,,,,,
10,19603,,,0.988596,,,,,,,
0,19603,,,,0.988596,,,,,,
1,19603,,,,0.988596,,,,,,
2,19603,,,,0.988596,,,,,,
3,19603,,,,0.988596,,,,,,
4,19603,,,,0.988596,,,,,,
5,19603,,,,0.988596,,,,,,
6,19603,,,,0.988596,,,,,,
7,19603,,,,0.988596,,,,,,
8,19621,,,,0.988409,,,,,,
9,20921,,,,0.978875,,,,,,
10,31360,,,,0.903907,,,,,,
11,107298,,,,0.383062,,,,,,
12,160540,,,,0.0,,,,,,
13,160540,,,,0.0,,,,,,
14,160540,,,,0.0,,,,,,
0,19555,,,,,0.988596,,,,,
0,111740,,,,,,0.826136,,,,
1,105491,,,,,,0.830809,,,,
2,101741,,,,,,0.833427,,,,
3,99240,,,,,,0.83754,,,,
4,97455,,,,,,0.842027,,,,
5,96115,,,,,,0.845766,,,,
0,99636,,,,,,,0.864648,,,
1,93387,,,,,,,0.869321,,,
2,89637,,,,,,,0.871939,,,
3,87136,,,,,,,0.876052,,,
4,85351,,,,,,,0.880538,,,
5,84011,,,,,,,0.884277,,,
0,87532,,,,,,,,0.898486,,
1,81283,,,,,,,,0.903159,,
2,77533,,,,,,,,0.905777,,
3,75032,,,,,,,,0.90989,,
4,73247,,,,,,,,0.914377,,
5,71907,,,,,,,,0.918116,,
0,19555,,,,,0.988596,,,,,
1,20811,,,,,0.988596,,,,,
2,22059,,,,,0.988596,,,,,
3,23307,,,,,0.9871,,,,,
4,24555,,,,,0.9871,,,,,
5,25811,,,,,0.968592,,,,,
6,27059,,,,,0.957188,,,,,
7,28307,,,,,0.94728,,,,,
8,29555,,,,,0.940924,,,,,
0,19555,,,,,,,,,0.988596,
0,160508,,,,,,,,,,0.0
