,Memory usage,RangeBF,LilRosetta p=0.8,Splash Rel. cut-off=0.8,Splash Abs. cut-off=0.8,SuRF Real,Layered CHaREQ h=13 b=1,Layered CHaREQ h=13 b=2,Layered CHaREQ h=13 b=3,SuRF Base,FST
0,12534,0.50812,,,,,,,,,
1,25034,0.282913,,,,,,,,,
2,37534,0.195996,,,,,,,,,
3,50034,0.139414,,,,,,,,,
4,62534,0.106322,,,,,,,,,
5,75034,0.086508,,,,,,,,,
6,87534,0.0679195,,,,,,,,,
7,100034,0.0559698,,,,,,,,,
0,54564,,0.919824,,,,,,,,
1,81771,,0.68134,,,,,,,,
2,108986,,0.308038,,,,,,,,
3,136193,,0.00582167,,,,,,,,
4,163409,,0.00132775,,,,,,,,
5,190623,,0.000817077,,,,,,,,
0,160540,,,0.0,,,,,,,
1,147324,,,0.0,,,,,,,
2,120924,,,0.0,,,,,,,
3,107724,,,0.0,,,,,,,
4,75772,,,0.0,,,,,,,
5,49362,,,0.000817077,,,,,,,
6,36326,,,0.00868144,,,,,,,
7,19603,,,0.418446,,,,,,,
8,19603,,,0.418446,,,,,,,
9,19603,,,0.418446,,,,,,,
10,19603,,,0.418446,,,,,,,
0,19603,,,,0.418446,,,,,,
1,19603,,,,0.418446,,,,,,
2,19603,,,,0.418446,,,,,,
3,19603,,,,0.418446,,,,,,
4,19603,,,,0.418446,,,,,,
5,19603,,,,0.418446,,,,,,
6,19603,,,,0.418446,,,,,,
7,19603,,,,0.418446,,,,,,
8,19621,,,,0.418446,,,,,,
9,20921,,,,0.418446,,,,,,
10,31360,,,,0.417526,,,,,,
11,107298,,,,0.367378,,,,,,
12,160540,,,,0.0,,,,,,
13,160540,,,,0.0,,,,,,
14,160540,,,,0.0,,,,,,
0,19555,,,,,0.418446,,,,,
0,111740,,,,,,0.176591,,,,
1,105491,,,,,,0.176591,,,,
2,101741,,,,,,0.176591,,,,
3,99240,,,,,,0.176591,,,,
4,97455,,,,,,0.176591,,,,
5,96115,,,,,,0.176591,,,,
0,99636,,,,,,,0.270146,,,
1,93387,,,,,,,0.270146,,,
2,89637,,,,,,,0.270146,,,
3,87136,,,,,,,0.270146,,,
4,85351,,,,,,,0.270146,,,
5,84011,,,,,,,0.270146,,,
0,87532,,,,,,,,0.359412,,
1,81283,,,,,,,,0.359412,,
2,77533,,,,,,,,0.359412,,
3,75032,,,,,,,,0.359412,,
4,73247,,,,,,,,0.359412,,
5,71907,,,,,,,,0.359412,,
0,19555,,,,,0.418446,,,,,
1,20811,,,,,0.418446,,,,,
2,22059,,,,,0.418446,,,,,
3,23307,,,,,0.418139,,,,,
4,24555,,,,,0.418139,,,,,
5,25811,,,,,0.286283,,,,,
6,27059,,,,,0.153304,,,,,
7,28307,,,,,0.0843632,,,,,
8,29555,,,,,0.0414667,,,,,
0,19555,,,,,,,,,0.418446,
0,160508,,,,,,,,,,0.0
